f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (?),#NAME?,Output Rs.R (?),Output Rct.R (?),Output C.C (F)
100000,470004.243,87.17249096,50773,48593000,3.86E-12
68129,686362.5755,86.00300558,,,
46416,995656.9504,85.18805155,,,
31623,1435382.838,84.18020167,,,
21544,2079242.344,82.31078341,,,
14678,2990276.74,80.75352539,,,
10000,4307685.042,78.67031763,,,
6812.9,6144404.478,76.15920671,,,
4641.6,8745333.375,73.18855736,,,
3162.3,12262776.37,68.47675308,,,
2154.4,16747970.57,62.95184799,,,
1467.8,22249156.08,55.90703737,,,
1000,28429514.65,48.87154391,,,
681.29,33691421.04,40.71149324,,,
464.16,37497218.71,33.71789974,,,
316.23,40211813.38,28.73943936,,,
215.44,41210120.38,25.83990157,,,
146.78,42819559.97,24.80340874,,,
100,47666505.62,24.26895824,,,
68.129,51054152.1,24.9524242,,,
46.416,55912728.52,25.95667398,,,
31.623,62661104.06,26.88146745,,,
21.544,71467374.92,27.57621928,,,
14.678,83472387.37,27.28652189,,,
10,99383369.77,26.41746971,,,
100000,415728.7669,82.49918771,,,
68129,607739.7254,84.49471717,,,
46416,890286.0464,85.68420653,,,
31623,1305364.776,86.23511906,,,
21544,1914487.09,86.22669398,,,
14678,2807000.645,85.6577402,,,
10000,4111862.415,84.44639381,,,
6812.9,6010427.07,82.42234021,,,
4641.6,8745163.757,79.31600951,,,
3162.3,12603014.73,74.76122305,,,
2154.4,17821367.3,68.3565927,,,
1467.8,24339952.24,59.87199942,,,
1000,31466867.04,49.62247514,,,
681.29,37926072.61,38.72165652,,,
464.16,42673121.09,28.65399142,,,
316.23,45579574.72,20.42280642,,,
215.44,47146967.29,14.2352072,,,
146.78,47931512.59,9.806566224,,,
100,48309248.45,6.716326583,,,
68.129,48487639.82,4.58705087,,,
46.416,48571114.31,3.128730119,,,
31.623,48610006.99,2.132728213,,,
21.544,48628092.18,1.453337944,,,
14.678,48636492.48,0.990278207,,,
10,48640393.28,0.674704464,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,609505.232684626,89.3589176687153,23154,137080000,2.911E-12
68129,892783.956289718,88.2777691886498,,,
46416,1302495.05729395,87.4924212902318,,,
31623,1877554.52677416,87.1748645737899,,,
21544,2743877.69560351,86.7854969567959,,,
14678,3954526.84868048,86.192725646192,,,
10000,5757214.85674303,85.4434742523732,,,
6812.9,8310549.77335327,84.7817777203596,,,
4641.6,12069019.7200151,83.9469666903665,,,
3162.3,17504453.2415846,82.1375027413889,,,
2154.4,25233545.4232106,79.269030539677,,,
1467.8,36164547.8452246,75.2136099265604,,,
1000,50268577.8066181,68.4274663090283,,,
681.29,68138534.2015222,61.4929392503872,,,
464.16,87878569.9744012,52.712982473539,,,
316.23,105209428.677136,43.6053251358924,,,
215.44,110935688.11815,35.0347215384105,,,
146.78,109773670.865198,31.0226075059692,,,
100,111795897.800349,30.7169247745569,,,
68.129,115153150.626415,33.091644141953,,,
46.416,132084452.03911,34.5040415801852,,,
31.623,159589329.942724,34.4365321797057,,,
21.544,197301241.493337,32.9333962480928,,,
14.678,252724150.641008,29.3722812623303,,,
10,302327471.775898,28.179157296395,,,
100000,547314.29406554,87.3468915246945,,,
68129,802957.295913674,88.01220322618,,,
46416,1178287.82955656,88.3817550478443,,,
31623,1729229.34518254,88.510256214561,,,
21544,2537865.45521637,88.4167518350018,,,
14678,3724195.78631255,88.0873980048073,,,
10000,5463991.46365251,87.4733965377071,,,
6812.9,8012686.05429301,86.4842986288084,,,
4641.6,11737806.6212798,84.9761294400637,,,
3162.3,17156216.4679842,82.7348146807387,,,
2154.4,24957867.5328769,79.4592972685606,,,
1467.8,35951358.0041068,74.7624905131966,,,
1000,50791981.1131519,68.2314162719409,,,
681.29,69266942.3540903,59.6376671317616,,,
464.16,89353763.0464742,49.3168384577413,,,
316.23,107432475.624046,38.4019951957014,,,
215.44,120629729.832931,28.3709217438367,,,
146.78,128666827.996138,20.2007056420769,,,
100,132986906.397908,14.0728609388472,,,
68.129,135145685.910619,9.69181851609745,,,
46.416,136184057.778866,6.63687498464779,,,
31.623,136674236.077299,4.53253111335761,,,
21.544,136903575.680823,3.09136203930449,,,
14.678,137010406.399671,2.10725142992648,,,
10,137060081.004164,1.43600006159242,,,
