f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,104783,86.6299,8390,21100000000,1.63E-11
68129,152975,87.0209,,,
46416,222862,87.3512,,,
31623,324171,87.5991,,,
21544,471746,87.8178,,,
14678,686364,88.038,,,
10000,1.00E+06,88.2782,,,
6812.9,1.46E+06,88.5245,,,
4641.6,2.13E+06,88.6851,,,
3162.3,3.12E+06,88.874,,,
2154.4,4.56E+06,88.9524,,,
1467.8,6.67E+06,88.9877,,,
1000,9.77E+06,89.0769,,,
681.29,1.43E+07,89.1298,,,
464.16,2.09E+07,89.0259,,,
316.23,3.06E+07,89.0801,,,
215.44,4.46E+07,89.0276,,,
146.78,6.52E+07,88.8687,,,
100,9.54E+07,88.9069,,,
68.129,1.39E+08,88.9157,,,
46.416,2.04E+08,88.9367,,,
31.623,2.97E+08,88.8053,,,
21.544,4.35E+08,88.8483,,,
14.678,6.26E+08,87.0255,,,
10,9.07E+08,88.9891,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,85639.1,86.6299,5620,21100000000,1.92E-11
68129,125505,87.0209,,,
46416,183625,87.3512,,,
31623,268510,87.5991,,,
21544,393345,87.8178,,,
14678,574530,88.038,,,
10000,841853,88.2782,,,
6812.9,1.23E+06,88.5245,,,
4641.6,1.81E+06,88.6851,,,
3162.3,2.65E+06,88.874,,,
2154.4,3.87E+06,88.9524,,,
1467.8,5.68E+06,88.9877,,,
1000,8.32E+06,89.0769,,,
681.29,1.22E+07,89.1298,,,
464.16,1.79E+07,89.0259,,,
316.23,2.61E+07,89.0801,,,
215.44,3.83E+07,89.0276,,,
146.78,5.59E+07,88.8687,,,
100,8.20E+07,88.9069,,,
68.129,1.20E+08,88.9157,,,
46.416,1.75E+08,88.9367,,,
31.623,2.57E+08,88.8053,,,
21.544,3.71E+08,88.8483,,,
14.678,5.52E+08,87.0255,,,
10,7.96E+08,88.9891,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,96832.5,87.5575,5220,18400000000,1.71E-11
68129,142193,88.0123,,,
46416,208327,88.3821,,,
31623,304549,88.5516,,,
21544,445521,88.7643,,,
14678,650649,88.7504,,,
10000,952167,88.8465,,,
6812.9,1.39E+06,88.9333,,,
4641.6,2.03E+06,89.0793,,,
3162.3,2.98E+06,89.1667,,,
2154.4,4.36E+06,89.2714,,,
1467.8,6.38E+06,89.2392,,,
1000,9.34E+06,89.3103,,,
681.29,1.37E+07,89.3264,,,
464.16,2.00E+07,89.3284,,,
316.23,2.93E+07,89.2907,,,
215.44,4.29E+07,89.0494,,,
146.78,6.28E+07,89.0607,,,
100,9.19E+07,88.8335,,,
68.129,1.34E+08,88.9344,,,
46.416,1.96E+08,89.0458,,,
31.623,2.85E+08,89.1963,,,
21.544,4.21E+08,88.0861,,,
14.678,6.11E+08,87.5164,,,
10,8.86E+08,88.2792,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,84089.9,87.1133,5160,16000000000,1.98E-11
68129,123385,87.6947,,,
46416,180352,88.1687,,,
31623,263706,88.4404,,,
21544,386262,88.6862,,,
14678,563833,88.8029,,,
10000,825796,88.9269,,,
6812.9,1.21E+06,88.9974,,,
4641.6,1.77E+06,89.0833,,,
3162.3,2.59E+06,89.1183,,,
2154.4,3.78E+06,89.0872,,,
1467.8,5.53E+06,88.9895,,,
1000,8.09E+06,88.9904,,,
681.29,1.18E+07,88.9551,,,
464.16,1.73E+07,88.9875,,,
316.23,2.53E+07,88.9029,,,
215.44,3.69E+07,88.8624,,,
146.78,5.39E+07,88.7008,,,
100,7.89E+07,88.6709,,,
68.129,1.15E+08,88.6155,,,
46.416,1.68E+08,88.4925,,,
31.623,2.44E+08,88.4587,,,
