f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (?),#NAME?,Output Rs.R (?),Output Rct.R (?),Output C.C (F)
100000,259516.3219,64.46113695,255180,24419000,7.71E-11
68129,341244.7697,61.71086269,,,
46416,441741.8785,59.13661482,,,
31623,565689.321,56.60742221,,,
21544,715076.4893,54.21619629,,,
14678,892689.9187,51.82433732,,,
10000,1106232.931,49.52358022,,,
6812.9,1350492.647,47.4171247,,,
4641.6,1627486.747,45.60149268,,,
3162.3,1938250.673,44.37680924,,,
2154.4,2292304.375,44.13747132,,,
1467.8,2720290.977,44.84601236,,,
1000,3262977.44,46.39831523,,,
681.29,3976220.436,48.31674613,,,
464.16,4909124.565,50.27894935,,,
316.23,6133057.558,51.97260976,,,
215.44,7736257.992,53.30288806,,,
146.78,9823058.697,54.13302041,,,
100,12509729.92,54.61002157,,,
68.129,15919070.48,54.6720647,,,
46.416,20244540.05,54.33197624,,,
31.623,25676001.9,53.70456344,,,
21.544,32479407.95,52.79396645,,,
14.678,40866385.16,51.45092538,,,
10,50908419.04,49.72748157,,,
100000,256032.0068,4.627334132,,,
68129,257012.0902,6.774533069,,,
46416,259110.9603,9.889097972,,,
31623,263575.9925,14.34794777,,,
21544,272948.2889,20.56383111,,,
14678,292117.9192,28.79753702,,,
10000,329650.3566,38.79500705,,,
6812.9,398673.7064,49.49513696,,,
4641.6,516929.5125,59.38089525,,,
3162.3,707358.2445,67.3294044,,,
2154.4,1001039.729,72.99466981,,,
1467.8,1442254.072,76.52777765,,,
1000,2095170.303,78.19438498,,,
681.29,3050655.196,78.16093787,,,
464.16,4430794.681,76.42388867,,,
316.23,6380590.297,72.8106425,,,
215.44,9020652.691,67.05499537,,,
146.78,12321957.71,59.01776229,,,
100,15936150.11,49.07268983,,,
68.129,19216933.16,38.37185868,,,
46.416,21631774.9,28.43009598,,,
31.623,23112034.42,20.27685957,,,
21.544,23910895.23,14.13832306,,,
14.678,24310918.6,9.741449245,,,
10,24503557.14,6.672258643,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,941093.0871897,73.4996409616214,693170,130120000,1.2676E-11
68129,1284926.95566324,70.2599300881929,,,
46416,1707353.66581399,67.2546142056535,,,
31623,2266425.79260011,64.8675463052029,,,
21544,2993631.68434888,62.1271934367008,,,
14678,3865064.84458912,59.2031614566027,,,
10000,4953583.94052264,56.1333598042663,,,
6812.9,6183364.24719354,53.523430945368,,,
4641.6,7618411.2212019,51.4402265877662,,,
3162.3,9305956.94129145,50.1648488306596,,,
2154.4,11297687.9691704,49.8747179149807,,,
1467.8,13783382.0956336,50.3519022443486,,,
1000,16965689.6570783,51.4715228349892,,,
681.29,21095170.9147233,52.7933818289638,,,
464.16,26475738.8312196,54.1754397277037,,,
316.23,33543747.5033345,55.3272431512436,,,
215.44,43027822.363453,55.876348393873,,,
146.78,54930690.0515375,56.8499281017527,,,
100,70405158.5444705,57.5568685949,,,
68.129,90886114.5438071,58.0791350257422,,,
46.416,117054132.07284,58.2135732525419,,,
31.623,151384103.036417,57.8000384030609,,,
21.544,195466698.715335,56.6230156950284,,,
14.678,251867707.878368,55.6672942061006,,,
10,321606224.60656,54.2567930316733,,,
100000,704568.614623967,10.265087806315,,,
68129,717502.533397323,14.8833043964384,,,
46416,744604.024293581,21.3018435603002,,,
31623,799877.428710253,29.7602677870177,,,
21544,907601.116252071,39.9491599502294,,,
14678,1104519.691024,50.7528368198842,,,
10000,1439988.25855143,60.673573633057,,,
6812.9,1977960.25530604,68.6760610545315,,,
4641.6,2805774.84528389,74.5091406697666,,,
3162.3,4049412.07353777,78.4005697415099,,,
2154.4,5893892.24570849,80.688227267318,,,
1467.8,8608912.33574327,81.6304550285747,,,
1000,12583073.1057601,81.345181176935,,,
681.29,18357107.6939708,79.7960658696203,,,
464.16,26633691.463446,76.7961265484259,,,
316.23,38183560.2857924,72.0363704142712,,,
215.44,53474884.8367433,65.1952259348911,,,
146.78,71861347.9184278,56.2174244610985,,,
100,90834653.6251079,45.7079947063112,,,
68.129,106862240.990649,35.0098103542466,,,
46.416,117883975.72228,25.5429940383137,,,
31.623,124308028.473536,18.0457505293204,,,
21.544,127669792.307176,12.518276173381,,,
14.678,129325532.296752,8.60307902446501,,,
10,130116318.320025,5.8852578792038,,,
