14-2-16 shunt,,,,,,,,,
Day,Frequency (Hz),Z (Ω), -Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F),Time (s),-Z'' (Ω),Z' (Ω)
,1467.8,7.85E+06,87.0266,,,,,,
,1000,1.14E+07,87.041,,,,,,
,681.29,1.65E+07,87.0835,,,,,,
,464.16,2.39E+07,87.0045,,,,,,
,316.23,3.48E+07,86.974,,,,,,
,215.44,5.06E+07,86.799,,,,,,
,146.78,7.34E+07,86.4447,,,,,,
,100,1.06E+08,86.0482,,,,,,
,68.129,1.55E+08,85.428,,,,,,
,46.416,2.24E+08,84.7528,,,,,,
,31.623,3.26E+08,83.2166,,,,,,
,21.544,4.72E+08,82.1518,,,,,,
,14.678,6.61E+08,79.8187,,,,,,
,10,9.72E+08,76.4867,,,,,,
Day-9,100000,206307,87.1769,19.7,1.31,10.2,,,
4-Jun,68129,301352,87.0661,,,,,,
18:00,46416,438591,86.9765,,,,,,
,31623,636797,86.7958,,,,,,
,21544,922779,86.4474,,,,,,
,14678,1.34E+06,86.203,,,,,,
,10000,1.93E+06,85.7889,,,,,,
,6812.9,2.79E+06,85.389,,,,,,
,4641.6,4.01E+06,84.8637,,,,,,
,3162.3,5.76E+06,84.4687,,,,,,
,2154.4,8.26E+06,84.1189,,,,,,
,1467.8,1.18E+07,83.4027,,,,,,
,1000,1.68E+07,82.886,,,,,,
,681.29,2.40E+07,82.3172,,,,,,
,464.16,3.41E+07,81.7114,,,,,,
,316.23,4.83E+07,80.9778,,,,,,
,215.44,6.86E+07,80.1261,,,,,,
,146.78,9.65E+07,79.3472,,,,,,
,100,1.36E+08,78.0093,,,,,,
,68.129,1.91E+08,76.5946,,,,,,
,46.416,2.67E+08,74.649,,,,,,
,31.623,3.74E+08,72.213,,,,,,
,21.544,5.07E+08,68.5775,,,,,,
,14.678,6.84E+08,64.829,,,,,,
,10,8.79E+08,62.5194,,,,,,
Day-11,100000,1.62E+06,94.4671,-61.2,514,1.3,,,
6-Jun,68129,2.46E+06,92.0027,,,,,,
18:00,46416,3.59E+06,90.8375,,,,,,
,31623,5.31E+06,89.6723,,,,,,
,21544,7.67E+06,88.8471,,,,,,
,14678,1.13E+07,88.1519,,,,,,
,10000,1.65E+07,87.3456,,,,,,
,6812.9,2.38E+07,86.4607,,,,,,
,4641.6,3.47E+07,85.3153,,,,,,
,3162.3,4.97E+07,84.6463,,,,,,
,2154.4,7.06E+07,82.5349,,,,,,
,1467.8,1.01E+08,80.3335,,,,,,
,1000,1.40E+08,79.01,,,,,,
,681.29,1.94E+08,78.4889,,,,,,
,464.16,2.66E+08,77.7896,,,,,,
,316.23,3.72E+08,78.7361,,,,,,
,215.44,5.00E+08,83.3414,,,,,,
,146.78,7.24E+08,81.4625,,,,,,
,100,1.01E+09,83.0924,,,,,,
,68.129,1.50E+09,82.9498,,,,,,
,46.416,2.17E+09,85.0626,,,,,,
,31.623,3.04E+09,86.7932,,,,,,
,21.544,4.54E+09,83.7869,,,,,,
,14.678,7.86E+09,88.5706,,,,,,
,10,9.28E+09,96.8198,,,,,,
Day-14,Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F),,,
9-Jun,100000,1494788.94,94.9215479,-102650,6.27E+10,1.09E-12,,,
17:00,68129,2253226.09,92.2845352,,,,,,
,46416,3341357.96,91.4063649,,,,,,
,31623,4923633,91.0431131,,,,,,
,21544,7231155.91,90.2579467,,,,,,
,14678,10560309.3,89.8219113,,,,,,
,10000,15532605.7,89.0582515,,,,,,
