f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (?),#NAME?,Output Rs.R (?),Output Rct.R (?),Output C.C (F)
100000,382838.8993,87.85110104,33714,130860000,5.01E-12
68129,558259.1472,87.07993673,,,
46416,809018.0057,86.49287044,,,
31623,1173957.112,86.28472721,,,
21544,1698238.174,85.89184935,,,
14678,2450810.122,84.97490058,,,
10000,3550211.705,84.207631,,,
6812.9,5095188.678,83.16862191,,,
4641.6,7327926.832,81.75676875,,,
3162.3,10476432.07,79.61533149,,,
2154.4,14892402.93,76.9658617,,,
1467.8,20844862.09,73.5869655,,,
1000,28849939.07,69.5639849,,,
681.29,39127203.69,64.53892643,,,
464.16,51463090.23,58.58818104,,,
316.23,65819651.02,52.06984818,,,
215.44,81344328.13,45.80008717,,,
146.78,95714746.3,39.47485134,,,
100,109372155.3,34.33154332,,,
68.129,121985171.2,29.93696182,,,
46.416,133270923.2,27.19141324,,,
31.623,144550727.2,25.67586332,,,
21.544,157118427.2,25.97597206,,,
14.678,171033447.3,27.51868087,,,
10,189284816.4,29.65559859,,,
100000,319431.7821,83.80248451,,,
68129,467460.159,85.66008137,,,
46416,685172.0861,86.88009513,,,
31623,1005021.989,87.6379959,,,
21544,1474709.763,88.04473854,,,
14678,2164080.448,88.16027471,,,
10000,3175729.88,88.00174504,,,
6812.9,4659624.693,87.54568071,,,
4641.6,6834263.73,86.72486967,,,
3162.3,10015468.36,85.41938595,,,
2154.4,14651558.98,83.44214557,,,
1467.8,21351308.5,80.52274646,,,
1000,30868914.03,76.29853048,,,
681.29,43921408.04,70.35257806,,,
464.16,60646423.18,62.36985867,,,
316.23,79688200.29,52.47792725,,,
215.44,97885774.8,41.58445741,,,
146.78,112000695.5,31.1581974,,,
100,121021504.6,22.38904816,,,
68.129,126021703.4,15.67739755,,,
46.416,128563223.6,10.82518079,,,
31.623,129796351,7.422407126,,,
21.544,130380938.5,5.071910743,,,
14.678,130654945.7,3.460354574,,,
10,130782725,2.359048728,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,415004.320239546,88.0653488361544,37434,73196000,4.5053E-12
68129,606606.090102351,87.1186797279597,,,
46416,882305.603676222,86.1541683969898,,,
31623,1275044.36772368,85.4063289405072,,,
21544,1842024.80633734,84.514064193994,,,
14678,2652637.29392492,83.235432499777,,,
10000,3810370.59660371,81.7934204642397,,,
6812.9,5442500.60548507,79.9991631281596,,,
4641.6,7732325.98773299,77.4945304365224,,,
3162.3,10931593.4999505,74.3920106670068,,,
2154.4,15277791.1389398,70.2672036331539,,,
1467.8,20946980.4917121,64.9291218330746,,,
1000,27874723.7978778,58.4249946211928,,,
681.29,35513308.6876013,51.0158642171711,,,
464.16,43597441.5369384,43.5599872825008,,,
316.23,51165560.7287398,36.4960702376065,,,
215.44,57810220.347812,30.474494850803,,,
146.78,64084794.7456245,25.9755374424346,,,
100,68832375.0748541,22.9055476680257,,,
68.129,74524385.3170186,21.3062218047018,,,
46.416,80724051.3804259,20.7158723572803,,,
31.623,89583470.748292,20.7438404474974,,,
21.544,97718017.4059277,21.6699951335949,,,
14.678,106640169.570783,23.1049229194525,,,
10,121177404.381426,24.0866973194389,,,
100000,355414.952394127,83.6776709686357,,,
68129,520119.618809555,85.4669737899546,,,
46416,762344.790402432,86.5898534298494,,,
31623,1118171.13761283,87.2073543899682,,,
21544,1640575.45535096,87.4095487682261,,,
14678,2406963.00468275,87.226108037411,,,
10000,3530511.41356682,86.6300991791388,,,
6812.9,5175005.07481336,85.5345268035621,,,
4641.6,7573923.84022319,83.7821661995917,,,
3162.3,11048873.1146179,81.1306880425449,,,
2154.4,16008865.4443549,77.242450127893,,,
1467.8,22874929.7480643,71.7096577131282,,,
1000,31830993.1696011,64.1762366972977,,,
681.29,42332761.3275909,54.6449933488683,,,
464.16,52783715.5727901,43.8545933806466,,,
316.23,61255297.7199172,33.2148432866053,,,
215.44,66873112.67793,24.0425713049642,,,
146.78,70064783.8558847,16.9071296457974,,,
100,71710275.304998,11.7000033916896,,,
68.129,72514493.3768364,8.03085742162967,,,
46.416,72897080.0550131,5.49066414457494,,,
31.623,73076733.0507481,3.74691553678366,,,
21.544,73160577.9915538,2.55463870292674,,,
14.678,73199589.0579578,1.74110307619037,,,
10,73217718.7482402,1.18639509625021,,,
