f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,132542.4428,88.14986466,17853,3528900000,9.98E-12
68129,619582.0703,82.7137572,,,
46416,879565.9781,82.05751143,,,
31623,1243520.31,81.42282872,,,
21544,1757407.062,81.13262094,,,
14678,2469488.648,80.21572016,,,
10000,3490250.335,79.74131149,,,
6812.9,4933243.532,79.52086433,,,
4641.6,6956343.169,78.97613824,,,
3162.3,9809533.412,77.99056129,,,
2154.4,13376209.24,74.42589814,,,
1467.8,17800776.75,70.65253644,,,
1000,20216212.77,65.3403102,,,
681.29,36630294.56,71.13158396,,,
464.16,48512050.29,68.47558068,,,
316.23,62419002.92,66.70195956,,,
215.44,80075705.15,66.99362916,,,
146.78,106079760.5,68.13177678,,,
100,145537485.3,69.34104489,,,
68.129,191477849.7,73.67169593,,,
46.416,268522673.1,76.73609669,,,
31.623,373987463.7,80.29373776,,,
21.544,534136529.4,81.16086904,,,
14.678,756812335.1,83.50561052,,,
10,1095735710,85.01744531,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,825400.447962314,91.9670842035858,-14145,178830000000,2.0198E-12
68129,1226017.37077715,90.6653769541892,,,
46416,1797345.70844528,90.1861946361112,,,
31623,2632517.055278,89.8308657858298,,,
21544,3857802.90645575,89.4403804726995,,,
14678,5628140.45078395,89.0881960322287,,,
10000,8254400.66949321,88.7075514977113,,,
6812.9,11984751.6083962,88.8573525066828,,,
4641.6,17474888.6234613,88.7688674908496,,,
3162.3,25436111.5170997,88.9373156577126,,,
2154.4,37350912.9887793,88.751054554153,,,
1467.8,54564012.5266396,88.8542411912392,,,
1000,79628378.8272448,88.7855569522281,,,
681.29,115456705.991444,88.8658601013925,,,
464.16,169745836.156584,88.5020740473282,,,
316.23,249292055.186981,88.7113270407623,,,
215.44,368343845.828621,88.5081534876583,,,
146.78,526442554.14283,88.9351060331588,,,
100,774807783.940608,89.9062521181513,,,
68.129,1129176468.39484,87.5321421805058,,,
46.416,1621698502.27313,88.2550416606903,,,
31.623,2343274306.97481,91.59550703766,,,
21.544,3223821038.83079,89.8763845523388,,,
14.678,5839394320.8035,94.2412687211971,,,
10,6716856872.0291,84.2940194959471,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,1963967.36841169,103.317046804695,-662780,38779000000,9E-13
68129,3130803.37753276,102.90649497266,,,
46416,4931567.47080945,102.776720641088,,,
31623,7758700.62472958,102.139217435733,,,
21544,12395315.398291,100.264471934926,,,
14678,18778351.2965222,97.5631552226061,,,
10000,28624593.96352,94.9192726781519,,,
6812.9,41449569.9089522,92.8887202879582,,,
4641.6,61837329.7502733,92.1987267153894,,,
3162.3,87740132.8256855,90.2106181881901,,,
2154.4,128918250.813686,88.8890817650638,,,
1467.8,193648215.496857,87.7357262111274,,,
1000,280994237.208934,86.8042023891934,,,
681.29,415945941.235137,83.5455991776418,,,
464.16,598519917.28726,83.4156716328575,,,
316.23,811679114.683779,79.4479284306141,,,
215.44,1179672944.39281,78.7953082640973,,,
146.78,1528971928.36148,76.4885222096553,,,
100,2134101632.25746,73.9996938206912,,,
68.129,2921887583.88504,71.533795060492,,,
46.416,3922247626.47713,73.5584512150836,,,
31.623,5810182206.10053,74.9886697080502,,,
21.544,8505596036.15122,75.5235000791119,,,
14.678,10237381323.2941,73.5810071151755,,,
10,18100372697.5937,76.7982539611445,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,885366.076379715,92.0293206150854,-15656,39338000000,1.8906E-12
68129,1314655.94657791,90.7616875151471,,,
46416,1933566.51893884,90.1387242762357,,,
31623,2821790.08898262,89.6443526546669,,,
21544,4152480.24157569,89.6201910876543,,,
14678,6039626.1700156,88.9403715169527,,,
10000,8833375.11286061,88.7516414547831,,,
6812.9,12949597.5183466,88.8226802600871,,,
4641.6,18742192.4731155,88.7713267993459,,,
3162.3,27517132.6086108,88.9169643851819,,,
2154.4,40066198.5527317,88.4298896570402,,,
1467.8,58448267.0256745,88.6110033835535,,,
1000,85551081.4951325,88.6123502844122,,,
681.29,124764280.803284,88.2679713173446,,,
464.16,180970602.992514,88.7296265944094,,,
316.23,268245047.94309,87.9762429193542,,,
215.44,393676776.699074,87.4684555418579,,,
146.78,557272857.723304,87.2945782566898,,,
100,816895048.158263,87.9664119530612,,,
68.129,1169197177.05466,85.6148997864326,,,
46.416,1726577431.15757,84.8736137779634,,,
31.623,2296991033.65717,82.4702992706236,,,
21.544,3257777627.81871,86.0197310533199,,,
14.678,5741935652.72571,87.6146313596574,,,
10,8572775979.18313,76.0881707384989,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,813575.850955859,90.5542270236653,-1915.1,1175900000,2.2163E-12
68129,1203340.36830204,89.9469230860849,,,
46416,1761369.53370553,89.832150616889,,,
31623,2566840.27540225,89.2915149017036,,,
21544,3789251.96456825,89.1863573011314,,,
14678,5515473.20812187,89.1414690643318,,,
10000,8099947.88554286,88.852335606732,,,
6812.9,11794123.8567947,88.6739731280639,,,
4641.6,17296739.9129088,89.0548844566955,,,
3162.3,25150547.2529431,88.9649436147668,,,
2154.4,36592028.3926515,88.8487073725858,,,
1467.8,53928093.3157094,88.7088313274031,,,
1000,78366377.2469549,88.5991647259661,,,
681.29,114385857.836776,89.1072774446282,,,
464.16,165788109.069568,87.4044114516119,,,
316.23,246689466.366041,89.809370620248,,,
215.44,319669034.777582,87.4420523302049,,,
146.78,448280320.161797,81.4919722962395,,,
100,573901964.309379,111.687706220657,,,
68.129,833547056.786975,82.6925176790275,,,
46.416,2314581530.99563,172.576101043599,,,
31.623,956919563.616822,11.9442622785864,,,
21.544,1793242622.79769,-60.5426673397225,,,
