f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (?),#NAME?,Output Rs.R (?),Output Rct.R (?),Output C.C (F)
100000,231505.6296,89.4419062,4263.9,41701000000,7.04E-12
68129,341279.6845,89.30976137,,,
46416,499909.7735,89.38082111,,,
31623,732664.301,89.35400715,,,
21544,1071447.314,89.36257426,,,
14678,1568971.336,89.28217714,,,
10000,2297510.873,89.29627273,,,
6812.9,3363588.961,89.36306103,,,
4641.6,4930705.733,89.31173334,,,
3162.3,7207523.809,89.43374288,,,
2154.4,10555558.12,89.35833025,,,
1467.8,15463604.82,89.31320404,,,
1000,22677152.72,89.34280734,,,
681.29,33158640.13,89.4424083,,,
464.16,48484451.31,89.28124925,,,
316.23,70936850.01,89.25658193,,,
215.44,104270312.5,89.4973144,,,
146.78,152249614.7,89.05194591,,,
100,222310958.5,88.88497298,,,
68.129,327652085.3,88.8581267,,,
46.416,475050777.1,88.83615148,,,
31.623,705545047,89.54198107,,,
21.544,996643094.7,90.13893723,,,
14.678,1522100070,87.10476055,,,
10,2219825353,87.02860658,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,127970.4328,88.1805778,5286.9,33717000000,1.28E-11
68129,187953.358,88.44944736,,,
46416,275473.1274,88.70850342,,,
31623,403055.066,88.90504312,,,
21544,589777.4279,89.02147689,,,
14678,862669.3342,89.04685856,,,
10000,1263321.738,89.12329386,,,
6812.9,1849216.559,89.21344779,,,
4641.6,2705277.616,89.31085227,,,
3162.3,3963168.961,89.26399274,,,
2154.4,5804161.912,89.34316414,,,
1467.8,8489430.072,89.20712412,,,
1000,12420352.5,89.20430649,,,
681.29,18185775.73,89.23296191,,,
464.16,26621702.44,89.18454109,,,
316.23,38932037.47,89.17837615,,,
215.44,57022142.5,89.39819155,,,
146.78,83191497.21,88.94662601,,,
100,122037912.2,89.12762016,,,
68.129,177397000.8,88.93339603,,,
46.416,259912716,89.01934077,,,
31.623,374892285.2,88.89018598,,,
21.544,556066677.5,88.8261257,,,
14.678,820168613.6,88.55979553,,,
10,1211851416,88.68443559,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,170438.0666,87.1461157,12698,10513000000,1.03E-11
68129,248687.8883,87.18075232,,,
46416,361652.9805,87.43922143,,,
31623,525777.8628,87.66177609,,,
21544,765858.1338,87.91659084,,,
14678,1113100.29,88.05099071,,,
10000,1626444.153,88.20528661,,,
6812.9,2367789.518,88.30098931,,,
4641.6,3459786.181,88.41923818,,,
3162.3,5057947.344,88.39388947,,,
2154.4,7358116.639,88.38912351,,,
1467.8,10751584.5,88.24771284,,,
1000,15688732.17,88.19295605,,,
681.29,22851261.93,88.11131045,,,
464.16,33279847.94,87.84855092,,,
316.23,48476091.79,87.74023353,,,
215.44,70595601.31,87.51126121,,,
146.78,102424959.9,87.06554898,,,
100,149501310.4,87.05895947,,,
68.129,214809897.6,86.61518141,,,
46.416,311351052.8,86.55741222,,,
31.623,456257553.9,85.58338286,,,
21.544,655891411.6,85.3951074,,,
14.678,909451108.1,85.21889884,,,
10,1375509851,84.91892519,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,373971.719,83.91661994,81667,2511800000,8.32E-12
68129,536358.0674,83.45869203,,,
46416,766992.6615,83.10294345,,,
31623,1096196.759,82.74393416,,,
21544,1574013.772,82.33935931,,,
14678,2231485.976,81.36833881,,,
10000,3170602.35,80.22539652,,,
6812.9,4459524.053,78.87431534,,,
4641.6,6205749.392,77.42835565,,,
3162.3,8524332.894,76.47914214,,,
2154.4,11674229.25,75.82635503,,,
1467.8,15951438.5,75.81917366,,,
1000,21917125.77,76.30191234,,,
681.29,30278960.53,77.14458111,,,
464.16,42146373.28,78.00953744,,,
316.23,59358908.17,78.63372888,,,
215.44,83411289.28,79.21103666,,,
146.78,117798742.5,79.085597,,,
100,167013938.4,78.93671387,,,
68.129,232883651.3,78.36050218,,,
46.416,326064753.1,77.75457728,,,
31.623,460549809.3,77.2589182,,,
21.544,633905200.4,76.53315917,,,
14.678,847656987.8,75.63397557,,,
10,1195467601,76.17409775,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,386315.6284,78.93688027,153050,2998900000,9.45E-12
68129,538156.3742,77.0039167,,,
46416,740184.8853,75.82672789,,,
31623,1008666.522,75.11602115,,,
21544,1378108.362,74.69700681,,,
14678,1880912.863,74.42058591,,,
10000,2575445.555,74.5579799,,,
6812.9,3513035.827,75.00406893,,,
4641.6,4821779.776,75.81748721,,,
3162.3,6650421.611,76.79849209,,,
2154.4,9220714.379,77.95814181,,,
1467.8,12917213.34,78.97237154,,,
1000,18235635.97,80.07331928,,,
681.29,25880699.88,80.84343794,,,
464.16,36830224.87,81.20216923,,,
316.23,52458642.1,81.22465255,,,
215.44,74465538.7,80.83855607,,,
146.78,104950950.7,80.62357994,,,
100,147696652,80.46098875,,,
68.129,208512713.9,80.17110667,,,
46.416,292835796.5,80.06790749,,,
31.623,418540748.7,79.56396418,,,
21.544,580809627.5,79.04943771,,,
14.678,817074019.1,77.14825681,,,
10,1168344160,76.03014086,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,334260.8082,81.98357432,101000,1937800000,1.13E-11
68129,476202.1779,81.31570713,,,
46416,676280.0039,80.68193645,,,
31623,958774.9761,79.79571223,,,
21544,1352822.025,78.71792421,,,
14678,1888054.806,77.16672885,,,
10000,2622422.245,75.60051382,,,
6812.9,3587761.522,74.17179447,,,
4641.6,4871700.409,73.13801882,,,
3162.3,6549526.491,72.54263698,,,
2154.4,8843598.234,72.72441856,,,
1467.8,11955488.09,73.18176276,,,
1000,16283271.88,74.16419858,,,
