f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,236858,90.2564,5030,2.51E+10,6.94E-12
68129,348984,89.5314,,,
46416,512220,89.1358,,,
31623,749516,88.7901,,,
21544,1.10E+06,88.6211,,,
14678,1.60E+06,88.277,,,
10000,2.35E+06,88.081,,,
6812.9,3.43E+06,87.8571,,,
4641.6,5.03E+06,87.8109,,,
3162.3,7.36E+06,87.8046,,,
2154.4,1.08E+07,87.2532,,,
1467.8,1.58E+07,87.1722,,,
1000,2.30E+07,86.899,,,
681.29,3.37E+07,86.6702,,,
464.16,4.92E+07,87.236,,,
316.23,7.21E+07,86.8749,,,
215.44,1.04E+08,86.1486,,,
146.78,1.53E+08,86.7058,,,
100,2.23E+08,87.2001,,,
68.129,3.28E+08,87.0833,,,
46.416,4.79E+08,87.0519,,,
31.623,6.91E+08,85.8199,,,
21.544,1.04E+09,86.8742,,,
14.678,1.51E+09,88.1285,,,
10,2.20E+09,84.5623,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,145937,88.3653,5770,4.02E+10,1.14E-11
68129,214481,88.5851,,,
46416,313919,88.778,,,
31623,459545,88.8336,,,
21544,671635,88.8756,,,
14678,982313,88.9521,,,
10000,1.44E+06,88.9796,,,
6812.9,2.10E+06,89.0288,,,
4641.6,3.07E+06,89.0645,,,
3162.3,4.49E+06,89.1021,,,
2154.4,6.57E+06,89.1259,,,
1467.8,9.61E+06,89.0408,,,
1000,1.40E+07,89.16,,,
681.29,2.06E+07,89.1029,,,
464.16,3.00E+07,89.1263,,,
316.23,4.39E+07,89.3755,,,
215.44,6.43E+07,89.3668,,,
146.78,9.38E+07,88.9989,,,
100,1.37E+08,89.2746,,,
68.129,2.01E+08,89.1763,,,
46.416,2.93E+08,89.2415,,,
31.623,4.26E+08,89.1938,,,
21.544,6.32E+08,89.6979,,,
14.678,9.23E+08,89.7442,,,
10,1.33E+09,87.5507,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,141312,87.6921,7450,2.05E+10,1.18E-11
68129,207226,88.0388,,,
46416,303416,88.3708,,,
31623,443215,88.5182,,,
21544,647843,88.8056,,,
14678,947192,88.8055,,,
10000,1.39E+06,88.8398,,,
6812.9,2.03E+06,88.9578,,,
4641.6,2.96E+06,88.985,,,
3162.3,4.34E+06,88.9831,,,
2154.4,6.34E+06,88.85,,,
1467.8,9.28E+06,88.8565,,,
1000,1.35E+07,88.8577,,,
681.29,1.98E+07,88.8263,,,
464.16,2.89E+07,88.9346,,,
316.23,4.23E+07,89.0197,,,
215.44,6.19E+07,88.5039,,,
146.78,9.01E+07,88.6661,,,
100,1.31E+08,88.6561,,,
68.129,1.92E+08,88.5814,,,
46.416,2.80E+08,88.6934,,,
31.623,4.06E+08,88.719,,,
21.544,5.90E+08,88.5033,,,
14.678,8.63E+08,87.6458,,,
10,1.26E+09,86.9994,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,135972,87.7257,7030,2.41E+10,1.22E-11
68129,199387,88.0639,,,
46416,291791,88.4024,,,
31623,426431,88.5276,,,
21544,623145,88.812,,,
14678,910825,88.8301,,,
10000,1.33E+06,88.9313,,,
6812.9,1.95E+06,89.0333,,,
4641.6,2.85E+06,89.0933,,,
3162.3,4.18E+06,89.1819,,,
2154.4,6.11E+06,89.1461,,,
1467.8,8.95E+06,89.1034,,,
1000,1.31E+07,89.1141,,,
681.29,1.92E+07,89.0677,,,
464.16,2.80E+07,88.9943,,,
316.23,4.10E+07,89.0277,,,
215.44,6.01E+07,88.8183,,,
146.78,8.76E+07,88.6634,,,
100,1.28E+08,88.4551,,,
68.129,1.87E+08,88.5819,,,
46.416,2.72E+08,88.5528,,,
31.623,4.00E+08,87.9172,,,
21.544,5.82E+08,88.1,,,
14.678,8.49E+08,88.0634,,,
10,1.24E+09,88.2394,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,132693,87.791,7040,1.66E+10,1.27E-11
68129,194477,88.0546,,,
46416,284265,88.3247,,,
31623,415249,88.4565,,,
21544,606695,88.5677,,,
14678,885490,88.6756,,,
10000,1.30E+06,88.7527,,,
6812.9,1.89E+06,88.8088,,,
4641.6,2.77E+06,88.8782,,,
3162.3,4.05E+06,88.9001,,,
2154.4,5.91E+06,88.8343,,,
1467.8,8.64E+06,88.7693,,,
1000,1.26E+07,88.7711,,,
681.29,1.84E+07,88.7618,,,
464.16,2.69E+07,88.7651,,,
316.23,3.93E+07,88.6489,,,
215.44,5.75E+07,88.7126,,,
146.78,8.37E+07,88.4316,,,
100,1.22E+08,88.0089,,,
68.129,1.78E+08,88.1463,,,
46.416,2.59E+08,88.0785,,,
31.623,3.77E+08,87.2248,,,
21.544,5.45E+08,87.7788,,,
14.678,8.01E+08,85.8506,,,
10,1.16E+09,88.3442,,,
