f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,38607.20223,74.86905725,10400,6726800000,4.47E-11
68129,55172.21238,79.18908878,,,
46416,79788.06072,82.33521176,,,
31623,116083.862,84.55271563,,,
21544,169481.7184,86.128719,,,
14678,247495.1251,87.11302298,,,
10000,362649.1644,87.85974018,,,
6812.9,531092.7672,88.36635719,,,
4641.6,777632.1207,88.71104918,,,
3162.3,1138511.314,88.94854539,,,
2154.4,1667896.873,89.07525352,,,
1467.8,2441374.324,89.10586505,,,
1000,3576781.796,89.19100874,,,
681.29,5236439.324,89.2027845,,,
464.16,7659963.849,89.21675075,,,
316.23,11218280.16,89.15892253,,,
215.44,16433157.18,89.11207314,,,
146.78,24023586.94,88.90441544,,,
100,35089832.1,88.83069544,,,
68.129,51253313.14,88.78442652,,,
46.416,74974000.73,88.68379487,,,
31.623,109538525.8,88.58838194,,,
21.544,159360826.3,88.20147156,,,
14.678,232102275.2,88.43913027,,,
10,339330983.2,87.6636891,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,45742.69911,77.97178815,10275,4499300000,3.87E-11
68129,65918.1672,81.22466919,,,
46416,95574.37708,83.54347313,,,
31623,138999.5412,85.18718095,,,
21544,202563.5122,86.30464962,,,
14678,295136.6563,86.99735768,,,
10000,430941.4526,87.54849708,,,
6812.9,629228.0494,87.90260216,,,
4641.6,918716.3155,88.14468101,,,
3162.3,1341538.919,88.29343692,,,
2154.4,1958683.643,88.38893706,,,
1467.8,2856241.542,88.30241385,,,
1000,4168003.501,88.31250588,,,
681.29,6078209.896,88.28626214,,,
464.16,8865654.274,88.23870393,,,
316.23,12913423.42,88.18083957,,,
215.44,18827804.73,88.04012002,,,
146.78,27375412.23,87.84857877,,,
100,39896414.2,87.73091162,,,
68.129,58025727.52,87.67648668,,,
46.416,84307569.18,87.51976576,,,
31.623,122071342.8,87.45425747,,,
21.544,177317502.7,87.37936168,,,
14.678,257478513.8,86.78803477,,,
10,371512448.2,86.75817013,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,357978.578,77.74963049,236300,1915200000,3.09E-11
68129,504880.0481,75.1201634,,,
46416,700778.1556,72.20136959,,,
31623,957076.3872,68.87716746,,,
21544,1292199.664,64.92477098,,,
14678,1691486.379,60.33348989,,,
10000,2167401.047,55.52985822,,,
6812.9,2669233.954,50.93503478,,,
4641.6,3169513.144,47.50070358,,,
3162.3,3664218.267,46.42243531,,,
2154.4,4229028.775,48.41546826,,,
1467.8,5017395.662,53.0635983,,,
1000,6245835.533,59.50339898,,,
681.29,8199181.797,66.12979769,,,
464.16,11224270.82,71.91524335,,,
316.23,15786742.33,76.2585102,,,
215.44,22572873.23,79.50277072,,,
146.78,32542355.14,81.50661371,,,
100,47039270.95,82.88535398,,,
68.129,68015159.53,83.50150956,,,
46.416,98191696.49,83.9307033,,,
31.623,141075461,83.79661404,,,
21.544,202268221.4,83.50580098,,,
14.678,289491469.2,82.42242678,,,
10,413062996.2,82.64785014,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,314582.8989,66.99917484,209780,5215200000,1.51E-11
68129,408237.505,63.28994521,,,
46416,513020.6642,61.13179428,,,
31623,634674.1335,61.40831564,,,
21544,795376.5961,63.98092888,,,
14678,1027160.952,68.36109008,,,
10000,1391161.443,73.33880828,,,
6812.9,1951995.49,77.80376833,,,
4641.6,2818349.387,80.86854561,,,
3162.3,4127318.908,82.44038708,,,
2154.4,6051811.182,82.21638748,,,
1467.8,8712929.482,80.55351166,,,
1000,12168981.67,78.49842316,,,
681.29,16584662.55,77.63586661,,,
464.16,22562990.83,78.21818586,,,
316.23,31281377.93,79.79515067,,,
215.44,43938110.5,81.71889261,,,
146.78,62907705.59,83.07730468,,,
100,90944816.34,84.35791707,,,
68.129,131034402,84.89916866,,,
46.416,189735558.4,85.44009561,,,
31.623,275403937.9,85.5032879,,,
21.544,398805609.7,85.67652593,,,
14.678,583256568.4,84.53265807,,,
10,828131051.5,84.55833,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,71349.74375,73.55220714,28435,2039600000,3.42E-11
68129,97676.88122,73.7374204,,,
46416,132520.1577,74.58861994,,,
31623,180624.9916,76.33424712,,,
21544,250204.5251,78.58076234,,,
14678,351927.204,80.81642831,,,
10000,502757.1216,82.80255093,,,
6812.9,724623.502,84.39977478,,,
4641.6,1049670.046,85.56779914,,,
3162.3,1524712.363,86.36420032,,,
2154.4,2218953.437,86.88089032,,,
1467.8,3232040.688,87.14424836,,,
1000,4706160.305,87.34315245,,,
681.29,6854685.609,87.41617586,,,
