IDE,Converted Date,Type,Name
8,244,Delaminated,12-8-s
2,438,Delaminated,16-2-s
4,642,Ongoing,16-4-s
8,642,Ongoing,16-8-s
16,122,Open,16-16-s
2,469,Delaminated,20-2-s
16,346,Delaminated,20-16-s
2,214,Open,22-2-s
4,285,Ongoing,22-4-s
8,285,Ongoing,22-8-s
16,285,Ongoing,22-16-s
4,285,Ongoing,27-4-s
16,285,Ongoing,27-16-s
2,81,Delaminated,28-2-s
4,81,Delaminated,28-4-s
8,285,Ongoing,28-8-s
16,81,Delaminated,28-16-s
