f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,481885,90.2564,9590,36000000000,3.68E-12
68129,711409,89.5314,,,
46416,1.04E+06,89.1358,,,
31623,1.52E+06,88.7901,,,
21544,2.22E+06,88.6211,,,
14678,3.23E+06,88.277,,,
10000,4.72E+06,88.081,,,
6812.9,6.86E+06,87.8571,,,
4641.6,9.96E+06,87.8109,,,
3162.3,1.45E+07,87.8046,,,
2154.4,2.12E+07,87.2532,,,
1467.8,3.06E+07,87.1722,,,
1000,4.44E+07,86.899,,,
681.29,6.43E+07,86.6702,,,
464.16,9.35E+07,87.236,,,
316.23,1.35E+08,86.8749,,,
215.44,1.96E+08,86.1486,,,
146.78,2.80E+08,86.7058,,,
100,4.05E+08,87.2001,,,
68.129,5.90E+08,87.0833,,,
46.416,8.52E+08,87.0519,,,
31.623,1.21E+09,85.8199,,,
21.544,1.78E+09,86.8742,,,
14.678,2.47E+09,88.1285,,,
10,4.03E+09,84.5623,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,391390,90.4517,1210,28200000000,4.35E-12
68129,577803,89.9225,,,
46416,850265,89.8227,,,
31623,1.25E+06,89.6054,,,
21544,1.82E+06,89.4751,,,
14678,2.67E+06,89.4306,,,
10000,3.93E+06,89.2745,,,
6812.9,5.74E+06,89.1625,,,
4641.6,8.40E+06,89.1097,,,
3162.3,1.23E+07,88.8762,,,
2154.4,1.81E+07,88.6618,,,
1467.8,2.63E+07,88.4613,,,
1000,3.83E+07,88.2184,,,
681.29,5.57E+07,87.8056,,,
464.16,8.10E+07,87.0887,,,
316.23,1.18E+08,87.028,,,
215.44,1.70E+08,86.115,,,
146.78,2.45E+08,86.0098,,,
100,3.57E+08,85.4139,,,
68.129,5.13E+08,85.9176,,,
46.416,7.45E+08,85.9984,,,
31.623,1.03E+09,86.0721,,,
21.544,1.47E+09,85.0274,,,
14.678,2.22E+09,85.7739,,,
10,2.98E+09,87.2962,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,230185,89.2737,5550,86500000000,7.12E-12
68129,338623,89.1457,,,
46416,496890,89.1547,,,
31623,727063,89.1489,,,
21544,1.06E+06,88.9822,,,
14678,1.56E+06,89.1261,,,
10000,2.28E+06,89.1034,,,
6812.9,3.33E+06,89.1429,,,
4641.6,4.88E+06,89.2866,,,
3162.3,7.14E+06,89.2263,,,
2154.4,1.04E+07,89.2809,,,
1467.8,1.53E+07,89.2435,,,
1000,2.24E+07,89.2515,,,
681.29,3.28E+07,89.2864,,,
464.16,4.80E+07,89.1848,,,
316.23,7.03E+07,89.1147,,,
215.44,1.03E+08,89.3382,,,
146.78,1.50E+08,88.9412,,,
100,2.20E+08,88.6523,,,
68.129,3.22E+08,88.9312,,,
46.416,4.68E+08,88.9801,,,
31.623,6.79E+08,88.4817,,,
21.544,1.01E+09,88.3102,,,
14.678,1.42E+09,90.3927,,,
10,2.23E+09,88.9655,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,230677,89.0862,6120,34000000000,7.11E-12
68129,339216,89.0157,,,
46416,497897,89.0917,,,
31623,726577,89.158,,,
21544,1.06E+06,89.0985,,,
14678,1.56E+06,89.1316,,,
10000,2.28E+06,89.1496,,,
6812.9,3.34E+06,89.233,,,
4641.6,4.88E+06,89.2412,,,
3162.3,7.16E+06,89.2308,,,
2154.4,1.05E+07,89.3337,,,
1467.8,1.53E+07,89.2826,,,
1000,2.24E+07,89.2638,,,
681.29,3.28E+07,89.3385,,,
464.16,4.80E+07,89.3232,,,
316.23,7.05E+07,89.3793,,,
215.44,1.04E+08,89.2284,,,
146.78,1.51E+08,89.0504,,,
100,2.19E+08,88.791,,,
68.129,3.21E+08,89.2349,,,
46.416,4.72E+08,89.7717,,,
31.623,6.83E+08,88.9167,,,
21.544,1.00E+09,87.0561,,,
14.678,1.48E+09,87.0186,,,
10,2.14E+09,87.4003,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,223944,77.6398,51600,28700000000,7.86E-12
68129,318426,80.5484,,,
46416,458086,83.2528,,,
31623,663943,84.9786,,,
21544,966676,86.3973,,,
14678,1.41E+06,86.9905,,,
10000,2.06E+06,87.7408,,,
6812.9,3.02E+06,88.2893,,,
4641.6,4.42E+06,88.575,,,
3162.3,6.46E+06,88.8074,,,
2154.4,9.45E+06,89.0235,,,
1467.8,1.38E+07,89.0478,,,
1000,2.03E+07,89.1338,,,
681.29,2.98E+07,89.1945,,,
464.16,4.35E+07,88.985,,,
316.23,6.36E+07,89.2759,,,
215.44,9.29E+07,88.9991,,,
146.78,1.36E+08,89.0289,,,
100,1.99E+08,88.7105,,,
68.129,2.90E+08,88.5757,,,
46.416,4.26E+08,89.2423,,,
31.623,6.27E+08,88.1476,,,
21.544,8.95E+08,87.5598,,,
14.678,1.29E+09,87.4114,,,
10,1.90E+09,87.0228,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,541092,81.075,255000,22600000000,6.94E-12
68129,773583,76.795,,,
46416,1.09E+06,73.7564,,,
31623,1.50E+06,70.0205,,,
21544,1.97E+06,67.2511,,,
14678,2.60E+06,65.1563,,,
10000,3.29E+06,64.5193,,,
6812.9,4.20E+06,66.5042,,,
4641.6,5.47E+06,70.3431,,,
3162.3,7.43E+06,74.6982,,,
2154.4,1.04E+07,78.4718,,,
1467.8,1.49E+07,81.0337,,,
1000,2.16E+07,83.1545,,,
681.29,3.14E+07,84.8733,,,
464.16,4.58E+07,86.0138,,,
316.23,6.67E+07,87.1159,,,
215.44,9.76E+07,87.4074,,,
146.78,1.42E+08,87.9571,,,
100,2.07E+08,87.6209,,,
68.129,3.02E+08,88.2118,,,
46.416,4.45E+08,88.162,,,
31.623,6.39E+08,88.6167,,,
21.544,9.54E+08,87.7273,,,
14.678,1.39E+09,89.0062,,,
10,2.03E+09,84.2398,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,187000,88.9968,5460,21100000000,8.90E-12
68129,274991,89.0271,,,
46416,402395,89.0055,,,
31623,588477,88.9911,,,
21544,860595,88.9289,,,
14678,1.26E+06,89.024,,,
10000,1.84E+06,89.0119,,,
6812.9,2.69E+06,89.0235,,,
4641.6,3.94E+06,89.0699,,,
3162.3,5.76E+06,89.0566,,,
2154.4,8.43E+06,89.1091,,,
1467.8,1.23E+07,88.9868,,,
1000,1.80E+07,88.9629,,,
681.29,2.64E+07,89.1394,,,
464.16,3.85E+07,88.8082,,,
316.23,5.64E+07,88.9378,,,
215.44,8.20E+07,88.8856,,,
146.78,1.20E+08,88.5389,,,
100,1.76E+08,88.3372,,,
68.129,2.55E+08,88.862,,,
46.416,3.73E+08,87.6499,,,
31.623,5.38E+08,88.016,,,
