f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (?),#NAME?,Output Rs.R (?),Output Rct.R (?),Output C.C (F)
100000,838251.0067,86.0968422,125010,49086000,2.33E-12
68129,1213956.157,83.75183692,,,
46416,1736285.205,82.36489058,,,
31623,2468835.88,80.95897434,,,
21544,3530801.258,79.43660006,,,
14678,4984002.264,77.17943616,,,
10000,7073799.752,74.30720999,,,
6812.9,9916408.628,70.7255048,,,
4641.6,13683386.11,65.97931726,,,
3162.3,18475596.55,59.44724391,,,
2154.4,24177502.48,52.61090108,,,
1467.8,29346434.25,43.77126655,,,
1000,28134592.42,47.02051556,,,
681.29,40629327.89,31.76977319,,,
464.16,45495468.93,26.10017633,,,
316.23,49344217.5,22.21936801,,,
215.44,52516394.18,19.37332902,,,
146.78,52829742.04,17.94591175,,,
100,52107378.57,18.70876777,,,
68.129,50638727.37,21.49471014,,,
46.416,52134206.66,24.70096482,,,
31.623,56532583.93,27.61485568,,,
21.544,62954042.22,29.5893713,,,
14.678,72750143.84,30.203852,,,
10,85639414.64,29.51772826,,,
100000,695537.3947,78.85024247,,,
68129,1011926.834,81.73599683,,,
46416,1478859.019,83.43718457,,,
31623,2165381.861,84.17586539,,,
21544,3172053.862,84.0532094,,,
14678,4642827.846,83.05229212,,,
10000,6778716.621,81.03716589,,,
6812.9,9841763.29,77.7513794,,,
4641.6,14122743.28,72.83733652,,,
3162.3,19808626.91,65.93333802,,,
2154.4,26686475.56,56.93534087,,,
1467.8,33844130.93,46.39548077,,,
1000,39952295.68,35.61771057,,,
681.29,44191738.48,26.03170368,,,
464.16,46679031.07,18.41082846,,,
316.23,47985735.5,12.77928071,,,
215.44,48630773,8.784657438,,,
146.78,48939109.6,6.010412169,,,
100,49084242.93,4.102965382,,,
68.129,49152048.29,2.797890884,,,
46.416,49183615.73,1.907009589,,,
31.623,49198288.9,1.299495641,,,
21.544,49205104.43,0.885397539,,,
14.678,49208268.52,0.603250261,,,
10,49209737.46,0.410997614,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,589727.714892035,88.7221404267334,42742,279680000,3.051E-12
68129,864038.045297758,87.5551688976072,,,
46416,1248868.13826608,86.8416191584793,,,
31623,1799342.49964168,86.2961502996098,,,
21544,2610391.19309152,86.1323158486458,,,
14678,3742900.87030376,85.9025625003432,,,
10000,5430021.1277357,85.6166737658579,,,
6812.9,7824541.12257338,85.0659058360635,,,
4641.6,11309774.563314,84.3046476296497,,,
3162.3,16418404.8924976,83.0214150360332,,,
2154.4,23677722.7526079,80.8359380321372,,,
1467.8,34103677.7554389,76.5287694539875,,,
1000,48739082.6522456,72.8597853640416,,,
681.29,68199553.466223,66.7395604520749,,,
464.16,93324040.2041859,60.5408949631231,,,
316.23,121887188.421716,51.9542018254838,,,
215.44,153115653.807767,43.225262130353,,,
146.78,183477554.803899,35.1873133271456,,,
100,225243372.549852,29.851807417131,,,
68.129,269285664.510942,24.7504276183055,,,
46.416,284733767.324795,19.1136618509762,,,
31.623,296248357.674984,15.864332480513,,,
21.544,336923094.949175,13.5088035521343,,,
14.678,364431611.305391,11.7542213959767,,,
10,380719663.424205,11.006370377297,,,
100000,523475.131054943,85.2097002271525,,,
68129,766983.555040289,86.648554388053,,,
46416,1124829.84700037,87.592098034614,,,
31623,1650362.54929831,88.1780488317041,,,
21544,2421973.0583494,88.4928295242106,,,
14678,3554460.90777448,88.583034244037,,,
10000,5216549.5215638,88.462086105919,,,
6812.9,7655196.6228769,88.1120231386123,,,
4641.6,11231282.9532331,87.4810168620031,,,
3162.3,16469809.7603544,86.4761033013046,,,
2154.4,24126656.6488607,84.9508567832116,,,
1467.8,35261387.0567378,82.6892301332286,,,
1000,51288344.8272826,79.3878697971273,,,
681.29,73861530.5990242,74.6573548570768,,,
464.16,104297094.766073,68.0861772524857,,,
316.23,142107157.830619,59.4525517163163,,,
215.44,183087678.28257,49.1056628547298,,,
146.78,219818473.117396,38.1942938946353,,,
100,246525627.052707,28.1931352413002,,,
68.129,262743359.784327,20.0625978742824,,,
46.416,271443717.027923,13.9724527534325,,,
31.623,275786978.885519,9.62125583259069,,,
21.544,277875184.251515,6.58787620197317,,,
14.678,278860583.672977,4.49896245715806,,,
10,279321570.860986,3.06848550756632,,,
