f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (?),#NAME?,Output Rs.R (?),Output Rct.R (?),Output C.C (F)
100000,223126.4187,89.3113061,5096,27506000000,7.44E-12
68129,328466.1656,89.15798832,,,
46416,481380.8854,89.16121815,,,
31623,705135.2838,89.20633408,,,
21544,1031155.12,89.33878506,,,
14678,1507631.874,89.15402309,,,
10000,2210798.369,89.17857733,,,
6812.9,3231961.894,89.2444937,,,
4641.6,4730615.348,89.16838702,,,
3162.3,6927392.332,89.14191496,,,
2154.4,10123359.51,89.06234036,,,
1467.8,14825415.28,88.92675996,,,
1000,21660654.93,88.90366364,,,
681.29,31659686.82,88.82417485,,,
464.16,46206996.44,88.67651571,,,
316.23,67648321.32,88.62828321,,,
215.44,98270949.04,88.72899185,,,
146.78,142987897.1,88.00580888,,,
100,208398075.6,87.69323776,,,
68.129,302749491.5,87.72225167,,,
46.416,439652653.7,87.69632139,,,
31.623,633307530.1,87.90856793,,,
21.544,943445494.8,88.51361341,,,
14.678,1408197412,88.08169378,,,
10,1974175048,86.23951366,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,119737.5203,87.9392175,5445.9,20518000000,1.39E-11
68129,175586.1875,88.2960506,,,
46416,257265.4167,88.59928922,,,
31623,376206.9009,88.8283983,,,
21544,551174.8341,89.02364619,,,
14678,805152.8766,89.02851778,,,
10000,1179974.107,89.1016249,,,
6812.9,1726971.625,89.17848587,,,
4641.6,2528473.488,89.17355394,,,
3162.3,3702662.211,89.24244831,,,
2154.4,5416605.098,89.19330176,,,
1467.8,7924815.664,89.02047817,,,
1000,11581770.86,88.95215709,,,
681.29,16932178.47,88.97307065,,,
464.16,24729127.59,88.88051174,,,
316.23,36147079.66,88.72436349,,,
215.44,52862797.28,88.74943231,,,
146.78,76812669.53,88.50301625,,,
100,112321408.8,88.51133824,,,
68.129,164118154.5,88.40970416,,,
46.416,238870372.7,88.30313004,,,
31.623,350874322.1,88.69522666,,,
21.544,509169301.2,88.6925521,,,
14.678,744220219.6,88.92708365,,,
10,1068482012,87.11978803,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,598509.482541672,90.2158867360387,10619,3316900000,3.0023E-12
68129,883545.435928403,89.4232561075223,,,
46416,1294830.58671822,89.1141630688332,,,
31623,1889774.31657033,88.969475893016,,,
21544,2762591.55813757,89.097478929993,,,
14678,4025003.78896621,88.6703576380264,,,
10000,5907424.2303513,88.2820293029212,,,
6812.9,8590639.3189412,88.3211002849272,,,
4641.6,12550440.195233,87.937478722253,,,
3162.3,18294849.0969806,87.4674338654568,,,
2154.4,26531062.0092939,87.2201122340025,,,
1467.8,38581659.1001843,86.6643689640716,,,
1000,55871050.8131173,86.003602787096,,,
681.29,81177100.1326342,85.2753561290574,,,
464.16,116976677.996603,83.8576329298432,,,
316.23,167232970.218188,82.9920324042394,,,
215.44,241280221.091416,80.6677487681839,,,
146.78,339856225.262074,79.0877557213291,,,
100,474572302.069107,77.3143953418609,,,
68.129,667389094.773963,74.2051989053543,,,
46.416,939787334.828255,72.0626161001591,,,
31.623,1293090915.15308,65.8566876438967,,,
21.544,1697249461.82872,61.4925157212148,,,
14.678,2253361801.86593,53.1149461682302,,,
10,2588892670.65055,48.8759955943836,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,718774.227818539,90.3397816793944,18793,1557400000,2.6276E-12
68129,1057892.45984634,89.2767441951718,,,
46416,1546479.4665895,88.8150478923378,,,
31623,2245564.45009397,88.2009184785486,,,
21544,3268638.10239836,88.2680310465202,,,
14678,4754446.23572737,87.8769104310798,,,
10000,6961475.48380553,87.5649971881148,,,
6812.9,10133221.8667139,87.2006538899404,,,
4641.6,14681408.7638981,86.6528112873479,,,
3162.3,21348095.3208153,86.0929267928205,,,
2154.4,30805611.2539097,85.5434136718983,,,
1467.8,44617189.832178,84.178382404215,,,
1000,64098312.8095008,83.0119927849633,,,
681.29,92017446.1309249,81.3671375690145,,,
464.16,130446748.561198,79.4664384801138,,,
316.23,186314907.870194,77.1513690370978,,,
215.44,261913130.139682,72.7689478233834,,,
146.78,354493262.263007,70.4438276063496,,,
100,476208337.216542,65.6550911915487,,,
68.129,639486111.899891,62.0870196044957,,,
46.416,811160510.170964,56.352161747323,,,
31.623,1032265707.52849,50.8777210456235,,,
21.544,1268176162.48293,48.2590059554119,,,
14.678,1523727925.11051,45.5892245779104,,,
10,1784709101.09762,42.7464140034235,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,799914.279987732,89.9691017283902,51039,820110000,2.6888E-12
68129,1178247.87264088,88.4916085392906,,,
46416,1713293.45329286,87.6366747638566,,,
31623,2498762.08625529,86.7666247906421,,,
21544,3596926.87171234,86.1817382152582,,,
14678,5171536.11343632,85.0399610021115,,,
10000,7456774.77958689,83.9334325454672,,,
6812.9,10655181.5681445,83.1960926164855,,,
4641.6,15247033.6609931,82.4157758660927,,,
3162.3,21686887.6567547,81.3959736831018,,,
2154.4,30862377.2208885,80.1303463886904,,,
1467.8,43531386.9966437,78.4831277974316,,,
1000,60897251.2694514,77.1063571658046,,,
681.29,85193679.0664039,74.8243313030813,,,
464.16,117945930.712495,72.4008613026912,,,
316.23,162246350.084129,70.1100194424167,,,
215.44,217962312.332483,66.5337019860958,,,
146.78,287807255.447581,62.5651998282683,,,
100,371091487.911476,58.2508034782496,,,
68.129,471172764.113006,53.7861815488881,,,
