f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,260036,89.9467,3550,3.01E+10,6.51E-12
68129,383392,89.6654,,,
46416,562393,89.4684,,,
31623,821750,89.291,,,
21544,1.20E+06,89.242,,,
14678,1.76E+06,89.0084,,,
10000,2.58E+06,88.9168,,,
6812.9,3.76E+06,88.8013,,,
4641.6,5.50E+06,88.6569,,,
3162.3,7.99E+06,88.7246,,,
2154.4,1.17E+07,88.7707,,,
1467.8,1.70E+07,88.5913,,,
1000,2.49E+07,88.4002,,,
681.29,3.63E+07,88.2748,,,
464.16,5.29E+07,88.1359,,,
316.23,7.69E+07,87.8125,,,
215.44,1.12E+08,87.9003,,,
146.78,1.62E+08,87.7859,,,
100,2.35E+08,87.7366,,,
68.129,3.41E+08,87.547,,,
46.416,4.97E+08,87.3078,,,
31.623,7.18E+08,88.2755,,,
21.544,1.04E+09,87.9303,,,
14.678,1.52E+09,86.5496,,,
10,2.27E+09,87.463,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,196689,89.6879,2910,2.86E+10,8.31E-12
68129,289812,89.5225,,,
46416,425150,89.4777,,,
31623,622339,89.326,,,
21544,910103,89.2664,,,
14678,1.33E+06,89.2735,,,
10000,1.95E+06,89.2117,,,
6812.9,2.86E+06,89.2605,,,
4641.6,4.18E+06,89.301,,,
3162.3,6.12E+06,89.354,,,
2154.4,8.98E+06,89.3465,,,
1467.8,1.31E+07,89.3073,,,
1000,1.92E+07,89.3755,,,
681.29,2.81E+07,89.368,,,
464.16,4.11E+07,89.2008,,,
316.23,6.03E+07,89.2243,,,
215.44,8.82E+07,89.0977,,,
146.78,1.29E+08,89.1928,,,
100,1.89E+08,89.4753,,,
68.129,2.77E+08,89.0007,,,
46.416,4.04E+08,89.5203,,,
31.623,5.82E+08,88.7483,,,
21.544,8.55E+08,88.6153,,,
14.678,1.25E+09,87.7527,,,
10,1.88E+09,86.0779,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,207641,89.4114,4460,3.24E+10,7.94E-12
68129,305330,89.267,,,
46416,447548,89.2081,,,
31623,654652,89.1369,,,
21544,957436,89.1072,,,
14678,1.40E+06,89.1364,,,
10000,2.05E+06,89.132,,,
6812.9,3.00E+06,89.211,,,
4641.6,4.38E+06,89.2587,,,
3162.3,6.42E+06,89.2512,,,
2154.4,9.40E+06,89.2019,,,
1467.8,1.38E+07,89.2503,,,
1000,2.01E+07,89.2005,,,
681.29,2.95E+07,89.361,,,
464.16,4.32E+07,89.3526,,,
316.23,6.33E+07,89.2661,,,
215.44,9.25E+07,89.1949,,,
146.78,1.35E+08,88.8801,,,
100,1.98E+08,89.172,,,
68.129,2.89E+08,88.9034,,,
46.416,4.22E+08,88.5853,,,
31.623,6.20E+08,87.7596,,,
21.544,8.96E+08,88.9347,,,
14.678,1.31E+09,86.7444,,,
10,1.86E+09,87.8633,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,198839,89.4777,4130,3.00E+10,8.29E-12
68129,292592,89.2576,,,
46416,428593,89.2079,,,
31623,626509,89.169,,,
21544,917535,89.1293,,,
14678,1.34E+06,89.1317,,,
10000,1.96E+06,89.1283,,,
6812.9,2.87E+06,89.1771,,,
4641.6,4.20E+06,89.2447,,,
3162.3,6.15E+06,89.3247,,,
2154.4,8.99E+06,89.426,,,
1467.8,1.32E+07,89.2368,,,
1000,1.93E+07,89.1849,,,
681.29,2.82E+07,89.2446,,,
464.16,4.14E+07,89.2225,,,
316.23,6.04E+07,89.2139,,,
215.44,8.80E+07,89.2124,,,
146.78,1.29E+08,88.9397,,,
100,1.88E+08,89.168,,,
68.129,2.75E+08,88.8577,,,
46.416,4.04E+08,88.3961,,,
31.623,5.91E+08,88.7307,,,
21.544,8.57E+08,87.7872,,,
14.678,1.25E+09,87.6546,,,
10,1.83E+09,87.2378,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,187184,89.3209,4670,2.03E+10,8.89E-12
68129,275166,89.1357,,,
46416,402784,89.1225,,,
31623,587993,88.9986,,,
21544,862179,89.07,,,
14678,1.26E+06,88.9423,,,
10000,1.84E+06,88.9184,,,
6812.9,2.69E+06,88.9757,,,
4641.6,3.93E+06,89.0452,,,
3162.3,5.74E+06,89.0918,,,
2154.4,8.41E+06,89.0651,,,
1467.8,1.23E+07,88.9882,,,
1000,1.80E+07,88.985,,,
681.29,2.62E+07,89.0449,,,
464.16,3.85E+07,88.8639,,,
316.23,5.61E+07,88.8346,,,
215.44,8.20E+07,88.7023,,,
146.78,1.20E+08,88.7411,,,
100,1.76E+08,88.6851,,,
68.129,2.54E+08,88.568,,,
46.416,3.74E+08,88.503,,,
31.623,5.42E+08,88.0003,,,
21.544,7.99E+08,86.6673,,,
14.678,1.15E+09,88.7037,,,
10,1.73E+09,84.9056,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,232555,89.1679,6130,2.35E+10,7.23E-12
68129,342097,89.1133,,,
46416,501279,89.1029,,,
31623,732048,89.0672,,,
21544,1.07E+06,89.008,,,
14678,1.57E+06,89.0692,,,
10000,2.30E+06,89.1122,,,
6812.9,3.36E+06,89.0315,,,
4641.6,4.92E+06,89.0477,,,
3162.3,7.20E+06,88.9977,,,
2154.4,1.05E+07,88.9281,,,
1467.8,1.54E+07,88.785,,,
1000,2.25E+07,88.7072,,,
681.29,3.28E+07,88.5092,,,
464.16,4.79E+07,88.3518,,,
316.23,6.95E+07,88.337,,,
215.44,1.02E+08,87.8231,,,
146.78,1.47E+08,87.6489,,,
100,2.15E+08,87.6235,,,
68.129,3.10E+08,87.5971,,,
46.416,4.53E+08,87.1349,,,
31.623,6.70E+08,87.9131,,,
21.544,9.35E+08,87.1461,,,
14.678,1.35E+09,86.0334,,,
10,2.00E+09,87.1815,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,188629,89.1302,5300,2.08E+10,8.88E-12
68129,277499,89.0355,,,
46416,406123,89.0449,,,
31623,593903,88.9222,,,
21544,867064,89.0173,,,
14678,1.27E+06,88.9889,,,
10000,1.86E+06,88.9548,,,
6812.9,2.72E+06,88.9686,,,
4641.6,3.97E+06,88.9817,,,
3162.3,5.81E+06,89.0886,,,
2154.4,8.51E+06,88.9753,,,
1467.8,1.24E+07,88.8587,,,
1000,1.82E+07,88.8021,,,
681.29,2.65E+07,88.6384,,,
464.16,3.87E+07,88.5521,,,
316.23,5.66E+07,88.3778,,,
215.44,8.24E+07,88.2013,,,
146.78,1.20E+08,88.1031,,,
100,1.75E+08,88.1557,,,
68.129,2.55E+08,87.6679,,,
46.416,3.69E+08,87.6367,,,
31.623,5.44E+08,87.5853,,,
21.544,7.89E+08,87.1451,,,
14.678,1.11E+09,87.2285,,,
10,1.66E+09,86.8084,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,188375,89.08,5980,1.29E+10,8.97E-12
68129,276724,88.8816,,,
46416,404634,88.8486,,,
31623,591507,88.8305,,,
21544,863563,88.8201,,,
14678,1.26E+06,88.8069,,,
10000,1.84E+06,88.7802,,,
6812.9,2.69E+06,88.8583,,,
4641.6,3.93E+06,88.8351,,,
3162.3,5.75E+06,88.836,,,
2154.4,8.41E+06,88.8386,,,
1467.8,1.23E+07,88.6969,,,
1000,1.79E+07,88.6984,,,
681.29,2.62E+07,88.5361,,,
464.16,3.82E+07,88.5244,,,
316.23,5.58E+07,88.2453,,,
215.44,8.15E+07,88.3004,,,
146.78,1.18E+08,87.6492,,,
100,1.71E+08,87.3,,,
68.129,2.50E+08,87.2699,,,
46.416,3.64E+08,87.2055,,,
31.623,5.36E+08,86.4375,,,
21.544,7.68E+08,86.7912,,,
14.678,1.12E+09,85.7092,,,
10,1.64E+09,83.5792,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,185540,88.9807,6280,1.01E+10,9.24E-12
68129,272469,88.8456,,,
46416,398648,88.8193,,,
31623,582906,88.8051,,,
21544,851794,88.7905,,,
14678,1.24E+06,88.7248,,,
10000,1.81E+06,88.6871,,,
6812.9,2.65E+06,88.6656,,,
4641.6,3.87E+06,88.6555,,,
3162.3,5.65E+06,88.6461,,,
2154.4,8.24E+06,88.4969,,,
1467.8,1.20E+07,88.3575,,,
1000,1.75E+07,88.2864,,,
681.29,2.56E+07,88.2219,,,
464.16,3.72E+07,88.0099,,,
316.23,5.41E+07,87.7983,,,
215.44,7.91E+07,87.8854,,,
146.78,1.15E+08,87.2481,,,
100,1.66E+08,87.2018,,,
68.129,2.41E+08,86.7446,,,
46.416,3.49E+08,86.5113,,,
31.623,5.04E+08,86.0862,,,
21.544,7.29E+08,85.4305,,,
14.678,1.07E+09,84.8246,,,
10,1.54E+09,82.4784,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,186980,88.7204,7410,8340000000,9.26E-12
68129,274251,88.6151,,,
46416,401310,88.6906,,,
31623,585759,88.6327,,,
21544,855257,88.7065,,,
14678,1.25E+06,88.5727,,,
10000,1.82E+06,88.4992,,,
6812.9,2.66E+06,88.4785,,,
4641.6,3.88E+06,88.5143,,,
3162.3,5.66E+06,88.5074,,,
2154.4,8.27E+06,88.3879,,,
1467.8,1.20E+07,88.2503,,,
1000,1.76E+07,88.154,,,
681.29,2.56E+07,88.0077,,,
464.16,3.73E+07,87.9833,,,
316.23,5.42E+07,87.6195,,,
215.44,7.94E+07,87.6489,,,
146.78,1.15E+08,86.8434,,,
100,1.67E+08,86.8199,,,
68.129,2.42E+08,86.4434,,,
46.416,3.48E+08,85.7976,,,
31.623,4.98E+08,84.7851,,,
21.544,7.11E+08,84.1808,,,
14.678,1.07E+09,84.2303,,,
10,1.45E+09,81.5595,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,189413,87.6947,14700,5960000000,9.71E-12
68129,276159,87.2493,,,
46416,400151,87.0278,,,
31623,578785,86.9614,,,
21544,836477,87.2072,,,
14678,1.21E+06,87.2857,,,
10000,1.76E+06,87.4861,,,
6812.9,2.56E+06,87.7082,,,
4641.6,3.73E+06,87.79,,,
3162.3,5.44E+06,87.8153,,,
2154.4,7.92E+06,87.9727,,,
1467.8,1.15E+07,87.7374,,,
1000,1.68E+07,87.6541,,,
681.29,2.44E+07,87.5758,,,
464.16,3.55E+07,87.2886,,,
316.23,5.15E+07,86.8715,,,
215.44,7.47E+07,86.4752,,,
146.78,1.08E+08,86.1638,,,
100,1.56E+08,85.8267,,,
68.129,2.26E+08,85.3462,,,
46.416,3.25E+08,84.9836,,,
31.623,4.66E+08,84.5361,,,
21.544,6.63E+08,82.8625,,,
14.678,9.46E+08,79.8522,,,
10,1.39E+09,80.1064,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,180000.463,88.3214805,9755.5,5299700000,1.00E-11
68129,263519.584,88.1687506,,,
46416,384577.492,88.1443218,,,
31623,560653.702,88.1106564,,,
21544,816928.636,88.1285996,,,
14678,1187955.25,87.9830957,,,
10000,1733836.13,87.9482169,,,
6812.9,2521953.51,87.9214955,,,
4641.6,3669968.63,87.8609151,,,
3162.3,5338941.59,87.7165242,,,
2154.4,7776252.58,87.5895407,,,
1467.8,11288622.1,87.2814409,,,
1000,16402770.3,87.0943626,,,
681.29,23793121.8,86.7772264,,,
464.16,34364995.6,86.667276,,,
316.23,49810218.2,86.4057738,,,
215.44,72241623.7,86.433803,,,
146.78,103940910,85.7390002,,,
100,150028088,85.295769,,,
68.129,216665232,85.0170717,,,
46.416,311467343,84.2917551,,,
31.623,451273150,83.0852299,,,
21.544,641226275,82.3506892,,,
14.678,908727473,80.1729094,,,
