new IDE name
23-2-m
23-2-s
23-4-m
23-4-s
23-8-m
23-8-s
23-16-m
23-16-s
24-2-m
24-2-s
24-4-m
24-4-s
24-8-m
24-8-s
24-16-m
24-16-s
25-2-m
25-2-s
25-4-m
25-4-s
25-8-m
25-8-s
25-16-m
25-16-s
26-2-m
26-2-s
26-4-m
26-4-s
26-8-m
26-8-s
26-16-m
26-16-s
27-2-m
27-2-s
27-4-m
27-4-s
27-8-m
27-8-s
27-16-m
27-16-s
28-2-m
28-2-s
28-4-m
28-4-s
28-8-m
28-8-s
28-16-m
28-16-s
29-2-m
29-2-s
29-4-m
29-4-s
29-8-m
29-8-s
29-16-m
29-16-s
30-2-m
30-2-s
30-4-m
30-4-s
30-8-m
30-8-s
30-16-m
30-16-s
31-2-m
31-2-s
31-4-m
31-4-s
31-8-m
31-8-s
31-16-m
31-16-s
32-2-m
32-2-s
32-4-m
32-4-s
32-8-m
32-8-s
32-16-m
32-16-s
33-2-m
33-2-s
33-4-m
33-4-s
33-8-m
33-8-s
33-16-m
33-16-s
34-2-m
34-2-s
34-4-m
34-4-s
34-8-m
34-8-s
34-16-m
34-16-s
