f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (?),#NAME?,Output Rs.R (?),Output Rct.R (?),Output C.C (F)
100000,343013.5763,89.84832832,4206.2,2.70E+11,4.75E-12
68129,505284.0595,89.50792675,,,
46416,741900.9213,89.50498152,,,
31623,1087063.208,89.42426399,,,
21544,1594592.157,89.40210873,,,
14678,2329343.955,89.34604291,,,
10000,3418846.415,89.30554527,,,
6812.9,4992837.647,89.41043916,,,
4641.6,7327032.999,89.42880231,,,
3162.3,10733035.14,89.64552372,,,
2154.4,15697866.36,89.50260692,,,
1467.8,23035924.45,89.45398553,,,
1000,33739213.57,89.48477481,,,
681.29,49480281.78,89.35714057,,,
464.16,72310950.96,89.33602524,,,
316.23,105568632.7,89.22679307,,,
215.44,153208648.8,88.89938846,,,
146.78,226442510.4,89.12971033,,,
100,335941345,89.7664535,,,
68.129,484214520.2,88.8867955,,,
46.416,706335679.4,88.9652002,,,
31.623,1036326224,90.11088783,,,
21.544,1488887069,89.02802693,,,
14.678,2201555519,89.15584257,,,
10,3133124043,90.28054839,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,134006.7251,86.82184127,9123.1,42033000000,1.25E-11
68129,196450.8394,87.42986911,,,
46416,287312.5182,87.93529702,,,
31623,419875.5708,88.29718663,,,
21544,614242.8968,88.55986808,,,
14678,896377.5849,88.61292903,,,
10000,1311489.582,88.73852001,,,
6812.9,1917030.656,88.83214745,,,
4641.6,2800911.208,88.94648413,,,
3162.3,4100279.038,89.05784386,,,
2154.4,6002710.439,89.05188052,,,
1467.8,8761310.022,89.01857375,,,
1000,12826945.95,89.07884199,,,
681.29,18769892.06,89.12686498,,,
464.16,27454714.58,89.0675927,,,
316.23,40117591.19,89.20974642,,,
215.44,58850267.55,88.80280249,,,
146.78,85699870.26,88.8172738,,,
100,125075059.3,88.74565566,,,
68.129,183169126.5,88.84799842,,,
46.416,266989675.6,88.96851932,,,
31.623,384656640.9,89.71589565,,,
21.544,563666626.2,89.3373873,,,
14.678,833048489.8,90.17619549,,,
10,1229581568,87.87874434,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,211729.8479,86.41505126,21279,8660900000,8.77E-12
68129,308488.3268,86.48853841,,,
46416,447695.6653,86.53388063,,,
31623,648607.7344,86.59552179,,,
21544,938162.5957,86.66236218,,,
14678,1354987.555,86.74526356,,,
10000,1965413.53,86.91662285,,,
6812.9,2850168.32,87.18810146,,,
4641.6,4140137.875,87.40053608,,,
3162.3,6022232.399,87.54878073,,,
2154.4,8750153.555,87.60841204,,,
1467.8,12735553.91,87.4752955,,,
1000,18493736.56,87.39565955,,,
681.29,26872744.25,87.41563486,,,
464.16,39044951.36,87.23916408,,,
316.23,56800957.85,87.10901741,,,
215.44,82475721.67,86.85337886,,,
146.78,119294011.9,86.53731659,,,
100,172891831.3,86.4239993,,,
68.129,248328533.6,85.42710857,,,
46.416,359713871.9,85.5531504,,,
31.623,520827583.7,84.86911575,,,
21.544,742888539.1,83.61097068,,,
14.678,1069852586,82.86421081,,,
10,1506072668,83.28385436,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,395828.5442,83.23544361,94022,2517300000,8.16E-12
68129,567102.2538,82.84986366,,,
46416,810586.0109,82.59478718,,,
31623,1156324.743,82.25989926,,,
21544,1656738.516,81.85751203,,,
14678,2350829.487,80.70019734,,,
10000,3337461.484,79.46769171,,,
6812.9,4676121.084,78.00065518,,,
4641.6,6475945.085,76.5139823,,,
3162.3,8875838.829,75.385443,,,
2154.4,12072741.61,74.83072587,,,
1467.8,16404347.58,74.83831587,,,
1000,22409781.81,75.44096617,,,
681.29,30761233.06,76.42243019,,,
464.16,42819066.02,77.49883969,,,
316.23,60102586.32,78.18926809,,,
215.44,84282533.43,78.86681304,,,
146.78,119074493.6,78.98295657,,,
100,167253018.4,78.372696,,,
68.129,237196607.4,78.50015039,,,
46.416,329716652.5,77.61136508,,,
31.623,468640658.2,77.65638294,,,
21.544,639609262.5,76.42869348,,,
14.678,876222174.2,75.74124335,,,
10,1233486222,73.63784238,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,723469.5607,89.35600596,40825,19019000000,2.51E-12
68129,1062797.966,88.18444876,,,
46416,1542285.5,87.77903121,,,
31623,2229710.329,87.20329913,,,
21544,3245329.532,86.77075211,,,
14678,4660405.97,86.71020936,,,
10000,6767950.008,86.46287308,,,
6812.9,9743547.296,86.56172971,,,
4641.6,14067091.69,86.88532612,,,
3162.3,20373882.36,87.30386052,,,
2154.4,29668867.98,87.44476791,,,
1467.8,43080692.42,87.37365128,,,
1000,62649037.82,87.76654928,,,
