f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (Ω), -Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,378352,89.7357,12200,3.67E+10,4.67E-12
68129,556759,89.0715,,,
46416,814785,88.7635,,,
31623,1.19E+06,88.3984,,,
21544,1.73E+06,88.2955,,,
14678,2.52E+06,87.9321,,,
10000,3.67E+06,87.588,,,
6812.9,5.32E+06,87.5341,,,
4641.6,7.69E+06,87.4423,,,
3162.3,1.11E+07,87.3992,,,
2154.4,1.62E+07,87.4835,,,
1467.8,2.35E+07,87.6799,,,
1000,3.42E+07,87.8259,,,
681.29,4.98E+07,87.8094,,,
464.16,7.23E+07,88.0733,,,
316.23,1.05E+08,87.5664,,,
215.44,1.53E+08,88.0715,,,
146.78,2.23E+08,87.6104,,,
100,3.25E+08,87.8403,,,
68.129,4.74E+08,87.3544,,,
46.416,6.77E+08,87.1482,,,
31.623,9.76E+08,87.8864,,,
21.544,1.41E+09,89.2029,,,
14.678,2.10E+09,85.3083,,,
10,3.26E+09,86.7563,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,310047,89.0787,10400,3.05E+10,5.44E-12
68129,455089,88.7358,,,
46416,663621,88.735,,,
31623,966743,88.6892,,,
21544,1.41E+06,88.7582,,,
14678,2.07E+06,88.8266,,,
10000,3.02E+06,88.8752,,,
6812.9,4.42E+06,88.8334,,,
4641.6,6.46E+06,88.8784,,,
3162.3,9.44E+06,88.9201,,,
2154.4,1.38E+07,88.8462,,,
1467.8,2.02E+07,88.7589,,,
1000,2.94E+07,88.8356,,,
681.29,4.31E+07,88.9572,,,
464.16,6.29E+07,88.8766,,,
316.23,9.18E+07,88.8137,,,
215.44,1.35E+08,88.8298,,,
146.78,1.96E+08,88.716,,,
100,2.87E+08,88.7453,,,
68.129,4.20E+08,88.2173,,,
46.416,6.01E+08,88.1065,,,
31.623,8.89E+08,88.6461,,,
21.544,1.32E+09,86.1189,,,
14.678,1.78E+09,85.1332,,,
10,2.70E+09,87.1647,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,206866,88.7568,7120,6.36E+10,8.02E-12
68129,304165,88.7802,,,
46416,445064,88.8544,,,
31623,649878,88.8587,,,
21544,949089,88.9427,,,
14678,1.39E+06,88.9136,,,
10000,2.03E+06,88.9307,,,
6812.9,2.98E+06,88.9803,,,
4641.6,4.35E+06,88.9954,,,
3162.3,6.36E+06,88.9645,,,
2154.4,9.29E+06,88.9608,,,
1467.8,1.36E+07,88.9889,,,
1000,1.99E+07,89.01,,,
681.29,2.91E+07,89.067,,,
464.16,4.24E+07,89.3,,,
316.23,6.20E+07,89.0417,,,
215.44,9.14E+07,89.1232,,,
146.78,1.33E+08,88.8761,,,
100,1.94E+08,89.267,,,
68.129,2.85E+08,88.689,,,
46.416,4.19E+08,88.8499,,,
31.623,6.05E+08,87.5403,,,
21.544,8.90E+08,89.1423,,,
14.678,1.30E+09,88.8453,,,
10,1.89E+09,89.4639,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,202083,88.9044,6390,2.55E+10,8.19E-12
68129,296647,88.8327,,,
46416,434577,88.9401,,,
31623,634776,88.9291,,,
21544,929863,88.9653,,,
14678,1.36E+06,88.9917,,,
10000,1.99E+06,88.9912,,,
6812.9,2.91E+06,89.0673,,,
4641.6,4.25E+06,89.1273,,,
3162.3,6.22E+06,89.1079,,,
2154.4,9.10E+06,89.1189,,,
1467.8,1.33E+07,89.1614,,,
1000,1.95E+07,89.1533,,,
681.29,2.85E+07,89.1811,,,
464.16,4.17E+07,89.244,,,
316.23,6.11E+07,89.1511,,,
215.44,8.96E+07,88.9774,,,
146.78,1.30E+08,88.9172,,,
100,1.91E+08,89.1945,,,
68.129,2.79E+08,88.7077,,,
46.416,4.10E+08,88.6674,,,
31.623,5.89E+08,87.8954,,,
21.544,8.71E+08,88.9972,,,
14.678,1.25E+09,87.0351,,,
10,1.86E+09,86.1108,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,189414,89.0512,5330,3.37E+10,8.73E-12
68129,278564,89.0065,,,
46416,408367,89.0563,,,
31623,596592,89.0104,,,
21544,871885,89.016,,,
14678,1.28E+06,89.0344,,,
10000,1.87E+06,89.06,,,
6812.9,2.73E+06,89.0867,,,
4641.6,4.00E+06,89.1734,,,
3162.3,5.85E+06,89.1728,,,
2154.4,8.55E+06,89.2157,,,
1467.8,1.25E+07,89.1482,,,
1000,1.83E+07,89.1603,,,
681.29,2.68E+07,89.1765,,,
464.16,3.91E+07,89.0536,,,
316.23,5.74E+07,89.0387,,,
215.44,8.36E+07,89.0165,,,
146.78,1.22E+08,89.0556,,,
100,1.78E+08,88.9921,,,
68.129,2.63E+08,88.6431,,,
46.416,3.84E+08,88.3532,,,
31.623,5.56E+08,87.9877,,,
21.544,8.30E+08,86.6727,,,
14.678,1.16E+09,89.1354,,,
10,1.73E+09,88.0642,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,190505,88.8789,6520,2.05E+10,8.75E-12
68129,279739,88.7543,,,
46416,409847,88.8499,,,
31623,597822,88.8031,,,
21544,872496,88.7844,,,
14678,1.28E+06,88.786,,,
10000,1.87E+06,88.8547,,,
6812.9,2.72E+06,88.8723,,,
4641.6,3.98E+06,88.9205,,,
3162.3,5.83E+06,89.0886,,,
2154.4,8.52E+06,89.0598,,,
1467.8,1.24E+07,89.0624,,,
1000,1.82E+07,89.1232,,,
681.29,2.66E+07,89.0232,,,
464.16,3.90E+07,88.9296,,,
316.23,5.70E+07,88.9719,,,
215.44,8.38E+07,88.8632,,,
146.78,1.22E+08,88.6073,,,
100,1.78E+08,88.4518,,,
