f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,257804.4221,89.46998045,5044.5,39946000000,6.40E-12
68129,379732.4644,89.31442358,,,
46416,557107.5764,89.31508557,,,
31623,815162.6752,89.26831515,,,
21544,1192239.973,89.22956551,,,
14678,1743208.522,89.18020129,,,
10000,2556464.919,89.18191945,,,
6812.9,3737781.397,89.23485369,,,
4641.6,5469535.506,89.18273571,,,
3162.3,7991408.621,89.11046388,,,
2154.4,11718366.03,89.29688421,,,
1467.8,17146927.43,89.11839195,,,
1000,25082044.54,89.04425824,,,
681.29,36601695.61,88.98284535,,,
464.16,53530281.02,88.8562533,,,
316.23,79002922.45,89.12537393,,,
215.44,114317803,89.25936318,,,
146.78,166446687,88.39093657,,,
100,243868838,88.67615786,,,
68.129,357276452.3,88.2569523,,,
46.416,516778831.6,88.110957,,,
31.623,740348098,87.95464751,,,
21.544,1114329405,88.00177237,,,
14.678,1629766281,88.1599687,,,
10,2291551271,87.58841738,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,151730.92822894,87.8796372362812,7603.7,15943000000,1.1079E-11
68129,222928.5560303,88.1633884522433,,,
46416,326316.206431704,88.4233084835191,,,
31623,477434.767335761,88.6488178917709,,,
21544,698168.792979406,88.7044019507032,,,
14678,1019084.13746309,88.7592210451407,,,
10000,1490551.15272424,88.8107474295637,,,
6812.9,2180510.55803936,88.9074743332056,,,
4641.6,3186340.53959739,88.8855247387893,,,
3162.3,4661961.77406579,88.9164596981344,,,
2154.4,6827954.94076864,88.8975092042282,,,
1467.8,9955792.86612773,88.664696809309,,,
1000,14536986.3150103,88.6487920115288,,,
681.29,21204229.9642673,88.5317389074373,,,
464.16,30951831.7928655,88.4756276557817,,,
316.23,45173530.5117193,88.3207851918173,,,
215.44,65814718.660924,88.2295797849056,,,
146.78,95763905.4253415,88.0069037628252,,,
100,139153153.071012,87.9643564341894,,,
68.129,203038141.410397,87.7491106970494,,,
46.416,295855051.557176,87.4002750961453,,,
31.623,426731675.437924,88.0532879476626,,,
21.544,623187813.779129,88.1188843680797,,,
14.678,911903512.827401,87.3516062591254,,,
10,1347895806.40053,85.7158026063431,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,151266.529384166,88.3781593396486,4285.4,1100000000000,1.0516E-11
68129,223179.479612799,88.9322201729686,,,
46416,328445.057465939,89.3512299310666,,,
31623,482949.479891893,89.5987444653362,,,
21544,710626.923081012,89.7464357599708,,,
14678,1041144.72034763,89.6489757067635,,,
10000,1530388.11042625,89.6085876926085,,,
6812.9,2243229.02031591,89.5454164490721,,,
4641.6,3288224.24680224,89.5923106442537,,,
3162.3,4820497.15386195,89.6126329673654,,,
2154.4,7050884.60140523,89.5810881948679,,,
1467.8,10329035.202149,89.458440043452,,,
1000,15133298.0235197,89.452974324991,,,
681.29,22170306.2645998,89.445948395943,,,
464.16,32381726.590611,89.5725222992968,,,
316.23,47387439.650632,89.4110990332342,,,
215.44,69755479.5320989,89.8440704925681,,,
146.78,101696877.397648,89.5844941250247,,,
100,149061824.629648,89.5078789512229,,,
68.129,217656191.149586,89.9908029465535,,,
46.416,322010116.02016,90.5606435650308,,,
31.623,482253885.713309,90.6786726366618,,,
21.544,695310597.40597,91.0486664336166,,,
14.678,1041909686.41306,90.2653571955091,,,
10,1515766855.63701,92.4133211432335,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,537731.327103687,91.4552948768879,-2096,16657000000,3.3773E-12
68129,795437.701788167,90.463836436519,,,
46416,1169820.54844826,89.9130379594687,,,
31623,1707260.69231853,89.4654592835887,,,
21544,2508045.137332,88.9789620217281,,,
14678,3647749.2699341,88.5023797350626,,,
10000,5325375.92986288,87.8715980850764,,,
6812.9,7706823.11186076,87.7070771209833,,,
4641.6,11149450.875764,87.5084628874403,,,
3162.3,16111525.5678641,87.7393538666631,,,
2154.4,23358398.4552091,87.8543382802204,,,
1467.8,34089229.729596,87.9581261674624,,,
1000,49774027.0322748,88.102555958183,,,
681.29,72913490.2587422,88.2299360431444,,,
464.16,106319324.923683,87.9467299969857,,,
316.23,154817160.55238,87.2124083384957,,,
215.44,226605768.959147,85.8844435280606,,,
146.78,325551557.792552,84.7883945884498,,,
100,467293849.966732,82.9515748309143,,,
68.129,660870538.739221,82.1780583408299,,,
46.416,928139036.261473,81.4502373761512,,,
31.623,1277111083.80467,82.2907792756608,,,
21.544,1833933672.12161,81.6577249619892,,,
14.678,2457803637.04866,79.6867644526175,,,
10,3516800579.86566,85.888378713732,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,561268.682349726,91.1594745874942,-4398.2,30894000000,2.9398E-12
68129,832857.748330406,90.4636607769218,,,
46416,1222531.56433939,90.0793903716035,,,
31623,1788265.35980499,89.5330162911014,,,
21544,2627691.32835794,89.345172713176,,,
14678,3830332.60959347,89.3023109010132,,,
10000,5617087.24460287,89.0938648628685,,,
6812.9,8191172.24027878,89.0688319992354,,,
4641.6,12019457.095338,89.0306039293654,,,
3162.3,17500075.4937226,88.9718170264773,,,
2154.4,25626233.6202782,88.9314203124323,,,
1467.8,37428161.8612881,88.9018484557425,,,
1000,54760804.5744284,88.9343854875466,,,
681.29,79838283.6738759,88.8861416829131,,,
464.16,117437656.367008,88.7279362680084,,,
316.23,172939458.642672,88.8491809718863,,,
215.44,245627608.215446,88.9295476341525,,,
146.78,363808249.88328,88.7245258168959,,,
100,525568670.017086,87.0047607146655,,,
68.129,783073664.846214,88.0798447592284,,,
46.416,1117981746.81706,86.6643005633664,,,
31.623,1594325607.26346,88.8041953599043,,,
21.544,2369294195.35079,86.023832809685,,,
14.678,3650046773.39216,80.95046134665,,,
10,4722219176.18187,82.7082194641354,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,570128.905200495,90.0635231242654,6502.5,11226000000,3.4361E-12
68129,847586.034628871,89.6635027596552,,,
46416,1245054.12134703,89.476008489185,,,
31623,1817928.99978202,89.2523721375565,,,
21544,2658892.7101518,89.343565970353,,,
14678,3890436.67157245,89.1455486374204,,,
10000,5712033.72701094,89.0243418476937,,,
6812.9,8337595.49128651,88.8768575263308,,,
4641.6,12168410.2359875,89.1015511511338,,,
3162.3,17812986.2683875,88.9398064849887,,,
2154.4,26282557.1439826,89.0006212208054,,,
1467.8,38138649.0470259,89.3115513957987,,,
1000,55963894.6502981,88.9520974815214,,,
681.29,81605859.0229393,88.4574196469717,,,
464.16,118679263.062713,87.7874895859768,,,
316.23,180973838.0067,87.2865011053883,,,
215.44,256660763.857273,93.385695073986,,,
146.78,355063970.281041,82.5047186613114,,,
100,358135247.933253,90.5025970678455,,,
68.129,797058597.961982,100.779221536088,,,
46.416,670558146.990017,45.2099249948101,,,
31.623,1220149425.81105,52.284115424908,,,
21.544,1326911966.6429,101.538806765847,,,
14.678,3256998228.80765,72.6036002294083,,,
10,5066036688.21656,82.2472845176797,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,558848.780390152,90.8367282647409,4332.5,27251000000,3.1965E-12
68129,826384.776671577,89.9365582722005,,,
46416,1210287.13800388,89.3727173561029,,,
31623,1767253.20725322,89.1964804079397,,,
21544,2586180.83288671,89.1240722351742,,,
14678,3764321.9786514,88.5599246631706,,,
10000,5510323.83723369,88.470246996087,,,
6812.9,8028367.20049479,88.4085419947475,,,
4641.6,11658193.7275525,88.0532463522321,,,
3162.3,17004678.3552307,87.6485614316755,,,
2154.4,24696013.9226348,87.2051708156594,,,
1467.8,35694047.46628,86.7160414248868,,,
1000,51863921.0164493,86.5369298298578,,,
681.29,74898669.3870596,85.998156863649,,,
464.16,108643130.609258,86.0034292261957,,,
316.23,157439079.292675,85.4882010175789,,,
