f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (Ω), -Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,359707,89.6818,9880,1.89E+10,4.90E-12
68129,529778,89.19,,,
46416,774518,88.8811,,,
31623,1.13E+06,88.707,,,
21544,1.65E+06,88.5638,,,
14678,2.40E+06,88.4261,,,
10000,3.51E+06,88.2577,,,
6812.9,5.11E+06,88.3142,,,
4641.6,7.45E+06,88.262,,,
3162.3,1.09E+07,88.1465,,,
2154.4,1.58E+07,88.0768,,,
1467.8,2.31E+07,87.8972,,,
1000,3.36E+07,87.7139,,,
681.29,4.87E+07,87.5676,,,
464.16,7.07E+07,87.0051,,,
316.23,1.02E+08,86.6371,,,
215.44,1.49E+08,87.0982,,,
146.78,2.13E+08,85.9438,,,
100,3.09E+08,85.8115,,,
68.129,4.46E+08,85.7553,,,
46.416,6.40E+08,85.5776,,,
31.623,9.31E+08,85.323,,,
21.544,1.33E+09,85.627,,,
14.678,1.93E+09,83.8977,,,
10,2.79E+09,84.5331,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,194370,88.8336,7070,2.78E+10,8.62E-12
68129,285462,88.725,,,
46416,417232,88.7143,,,
31623,6.09E+05,88.6646,,,
21544,8.89E+05,88.6849,,,
14678,1.30E+06,88.7461,,,
10000,1.90E+06,88.7411,,,
6812.9,2.77E+06,88.8485,,,
4641.6,4.05E+06,88.8491,,,
3162.3,5.92E+06,88.8957,,,
2154.4,8.65E+06,88.8702,,,
1467.8,1.27E+07,88.9208,,,
1000,1.85E+07,89.001,,,
681.29,2.71E+07,89.0774,,,
464.16,3.96E+07,89.0149,,,
316.23,5.79E+07,88.919,,,
215.44,8.44E+07,88.778,,,
146.78,1.23E+08,88.909,,,
100,1.81E+08,88.955,,,
68.129,2.63E+08,88.8107,,,
46.416,3.84E+08,88.5744,,,
31.623,5.53E+08,88.1965,,,
21.544,8.28E+08,88.3297,,,
14.678,1.17E+09,87.9753,,,
10,1.80E+09,86.7209,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,198427,88.7834,6830,2.33E+10,8.37E-12
68129,291773,88.7443,,,
46416,427775,88.8826,,,
31623,624460,88.8103,,,
21544,912750,88.8907,,,
14678,1.33E+06,88.852,,,
10000,1.95E+06,88.9293,,,
6812.9,2.85E+06,88.9645,,,
4641.6,4.17E+06,89.0461,,,
3162.3,6.10E+06,89.1596,,,
2154.4,8.91E+06,89.1156,,,
1467.8,1.30E+07,89.118,,,
