f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (?),#NAME?,Output Rs.R (?),Output Rct.R (?),Output C.C (F)
100000,97215.68088,87.21761176,6126.3,15060000000,1.74E-11
68129,142251.0134,87.61185627,,,
46416,207536.9474,87.97240658,,,
31623,302843.2849,88.31138227,,,
21544,442282.6884,88.55991529,,,
14678,645898.5969,88.64337821,,,
10000,945551.5617,88.80536689,,,
6812.9,1382484.012,88.86812702,,,
4641.6,2022111.322,88.93001069,,,
3162.3,2959446.751,88.95193446,,,
2154.4,4329816.67,88.9896063,,,
1467.8,6321643.599,88.83449787,,,
1000,9240854.485,88.81890168,,,
681.29,13507540.27,88.72946081,,,
464.16,19730404.48,88.68588773,,,
316.23,28788547.06,88.69721081,,,
215.44,42018266.68,88.59823939,,,
146.78,61247992.96,88.25944997,,,
100,89104328.11,88.1593976,,,
68.129,130208558.9,88.25850361,,,
46.416,189678141,88.05274042,,,
31.623,278080676.9,88.09475154,,,
21.544,398386825.9,88.29219893,,,
14.678,582464631,87.71569453,,,
10,852434545.9,88.01243412,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,92243.256142409,85.6488069902958,9489.2,13170000000,1.8982E-11
68129,134364.02657262,86.1903706392034,,,
46416,195139.895875638,86.6151663804552,,,
31623,283462.752312008,86.9691898670027,,,
21544,411751.593597736,87.2509158737291,,,
14678,597091.934687057,87.4763618671574,,,
10000,869644.835855844,87.7573408394985,,,
6812.9,1266654.61236966,88.0165549918111,,,
4641.6,1845342.38510129,88.2141909983468,,,
3162.3,2691597.94643918,88.3626428703216,,,
2154.4,3929289.35525209,88.496750110889,,,
1467.8,5729530.26667351,88.5131715091672,,,
1000,8370970.18324924,88.6180407306032,,,
681.29,12222172.4088042,88.6766919889573,,,
464.16,17846552.7961553,88.6936719880714,,,
316.23,26090937.1667895,88.7166376420272,,,
215.44,38128589.6410986,88.6584422684191,,,
146.78,55536536.261168,88.5506776173103,,,
100,81187409.3039202,88.5249443704555,,,
68.129,118408946.248283,88.5962433769607,,,
46.416,172489929.311812,88.4758601899123,,,
31.623,250185963.091069,88.3389651907557,,,
21.544,368520493.748486,88.0967547478492,,,
14.678,534263715.969451,87.7448636984697,,,
10,784681277.614705,87.525563984268,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,592870.162703245,85.9530050687881,98228,3259600000,4.609E-12
68129,854561.976414045,84.6467662720859,,,
46416,1215504.75560783,83.9119017266633,,,
31623,1720796.83058638,83.5752575737386,,,
21544,2468254.29282887,83.7100098526384,,,
14678,3514206.55331971,83.6668335884892,,,
10000,5055502.58272604,83.5326036229141,,,
6812.9,7262829.10076146,83.2789255690797,,,
4641.6,10446937.3830935,82.4507676593924,,,
3162.3,14919602.0437366,81.2638173449609,,,
2154.4,21031441.5274484,79.8299287962308,,,
1467.8,29360581.619168,78.2087392804786,,,
1000,40279626.9376836,77.0930584787881,,,
681.29,55411458.0548602,77.0065051590272,,,
464.16,76013233.4389086,77.3245161224571,,,
316.23,106435957.061841,77.856884730976,,,
215.44,150148696.614011,79.0962761148968,,,
146.78,209476673.495536,78.4918954403835,,,
100,293116162.04073,78.3073159809279,,,
68.129,419590041.401313,77.3039696773007,,,
46.416,578020968.30129,75.9296945440041,,,
31.623,783963496.630455,73.8246110691303,,,
21.544,1092916517.73469,72.6782575646958,,,
14.678,1489697311.62679,72.4392684625471,,,
10,1982903359.57414,69.5410246154365,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,529337.276205489,89.8149040609791,28261,833000000,4.1996E-12
68129,781144.205051428,88.7424475107693,,,
46416,1140679.78586675,88.1838112185019,,,
31623,1660417.42718331,87.4449677578071,,,
21544,2412620.40177128,86.9257070816602,,,
14678,3495280.40530153,86.3139930828617,,,
10000,5064204.06609432,85.5727067917006,,,
6812.9,7307330.33930735,84.7673849151888,,,
4641.6,10481538.2925175,83.8149178461245,,,
3162.3,15068575.0193001,82.4575044323913,,,
2154.4,21524402.2459145,81.1771740205652,,,
1467.8,30347651.220501,79.686009553948,,,
1000,42852483.1375986,78.0192126544138,,,
681.29,59657064.1859632,75.9295558742046,,,
464.16,82076309.2404266,73.9254960100851,,,
316.23,111748195.512884,71.6582492382416,,,
215.44,150774676.962892,69.6341102376426,,,
146.78,202200236.389591,67.2676767824493,,,
100,268759795.405324,65.7333696187579,,,
68.129,353559116.550654,63.2416510964241,,,
46.416,454341598.938053,61.3688074349733,,,
31.623,573267258.538172,61.0703585505344,,,
21.544,750996958.965648,59.9317090024323,,,
14.678,960788665.754979,59.3433754384451,,,
10,1252040615.27014,58.3013212254215,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,487749.317876852,88.9270184931372,35411,1287400000,4.7719E-12
68129,716348.607962847,88.1779417189723,,,
46416,1043863.94427318,87.6770453741813,,,
31623,1518334.01377287,87.0134710386924,,,
21544,2198467.92788035,86.3601317215723,,,
14678,3176577.85140792,85.8964481705784,,,
10000,4606987.49879824,85.2783194409142,,,
6812.9,6616196.1534254,84.5052991470449,,,
4641.6,9490804.68077965,83.7573679842208,,,
3162.3,13591208.1432364,82.9501548159391,,,
2154.4,19326843.7439041,81.6885609773448,,,
1467.8,27469042.4214297,80.5267922162521,,,
1000,38772851.7527807,79.1222120213818,,,
681.29,54328365.3008306,77.7162755629705,,,
464.16,75409923.0353497,76.2959437836741,,,
316.23,104417547.500637,74.0677729591214,,,
215.44,140879576.535705,72.7928794580912,,,
146.78,192503339.362521,71.0549652214097,,,
100,256870028.033938,70.037201142494,,,
68.129,349656297.731845,68.5078790943107,,,
46.416,468034545.138268,66.9096033232104,,,
31.623,626445940.961583,65.0276015386688,,,
21.544,824293136.030936,63.3670658089546,,,
14.678,1102192524.01963,58.9811839551709,,,
10,1408507214.50945,56.9072690057342,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,543030.829101252,86.5497984731347,85077,385670000,4.5092E-12
68129,789737.241131673,85.6409861802827,,,
46416,1139369.62177685,84.7653743970009,,,
31623,1635251.1297478,83.9159474933104,,,
21544,2336037.14000217,82.9163913146739,,,
14678,3322647.77401775,81.9851694801347,,,
10000,4712037.68106073,80.8465417543428,,,
6812.9,6644774.85564053,79.9743363448859,,,
4641.6,9335232.99626251,78.8679435719149,,,
3162.3,13078439.0496733,77.830023415272,,,
2154.4,18233945.6287262,76.6537230550528,,,
1467.8,25345704.7414004,75.152850636253,,,
1000,34926629.8031034,73.7835075056086,,,
681.29,47858991.9123968,71.8511854577729,,,
464.16,64826575.9906564,69.6889440906026,,,
316.23,85514761.4967176,68.0987788260292,,,
215.44,117505997.140605,64.117012029573,,,
146.78,161938840.822477,61.905797538666,,,
100,216497230.105526,51.9770705559713,,,
68.129,241318503.010011,57.2653489810213,,,
46.416,421846093.200071,46.1967607419251,,,
31.623,346230277.593167,34.5083979343066,,,
21.544,366767396.124027,42.3142714515192,,,
14.678,772684341.39779,64.2845341453621,,,
10,755947123.773702,42.9456976638394,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,382861.77421958,85.1679084651389,64470,469210000,6.4337E-12
68129,553752.290142305,84.651953141423,,,
46416,796208.125791941,84.381541085793,,,
31623,1143016.74316492,84.1394302487856,,,
21544,1635734.38469485,83.7091080641201,,,
14678,2339594.28141671,83.2269680465815,,,
10000,3351430.00651288,82.6868455246817,,,
6812.9,4765801.77883678,82.1172889441433,,,
4641.6,6784582.23026525,81.3133335724473,,,
3162.3,9596616.35979587,80.3247533207474,,,
2154.4,13523793.7484188,79.0679174397815,,,
1467.8,18973180.6222226,77.6795132635155,,,
1000,26545273.6239295,76.3132534092267,,,
681.29,36978100.7791107,74.672271035612,,,
464.16,50610185.8648936,72.700155158014,,,
316.23,69183327.5605391,70.8842576081764,,,
215.44,93463638.906859,68.7226980727363,,,
146.78,125616465.117483,66.1880422278637,,,
100,166857234.077858,63.3070559394124,,,
68.129,219020036.548055,60.5383325348893,,,
46.416,281263842.785704,57.2990602200266,,,
31.623,360248746.008573,53.2982419736109,,,
21.544,441962841.411788,50.5262652249482,,,
14.678,548288425.043919,47.435598332543,,,
10,653969365.683674,45.9808188526446,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,591977.586427728,87.8003187172516,79794,360690000,4.3031E-12
68129,863289.229209105,86.3804762119518,,,
46416,1247149.53112317,85.3731456127797,,,
31623,1792140.14250493,84.4641085059667,,,
21544,2567122.01094207,83.3219231098716,,,
14678,3663780.75915138,82.4102818494098,,,
10000,5219159.38325222,81.2702964489732,,,
6812.9,7310118.87467346,80.1846989173203,,,
4641.6,10290487.8596399,78.7615385022612,,,
3162.3,14478241.4401598,77.2813451507371,,,
2154.4,20105140.7235676,75.448712937241,,,
1467.8,27636324.0568861,73.104577739296,,,
1000,37664763.1866257,70.9411625168903,,,
681.29,50807343.6452229,68.7367128956024,,,
464.16,67747570.8971853,66.9300475582662,,,
316.23,89806127.5221813,64.6040021218225,,,
215.44,118010923.51191,61.8171675972793,,,
146.78,152904806.335726,59.0420116537366,,,
100,195113093.94531,56.1339368848294,,,
68.129,245138974.063603,53.0666394536263,,,
46.416,306762270.185117,50.0760945986002,,,
31.623,383476693.816282,46.9592898283035,,,
21.544,457667731.355643,44.360364159032,,,
14.678,537880376.652992,43.4061816740457,,,
10,635459980.716342,41.3436470300786,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,894569.452662442,87.5519548572619,179440,354750000,3.7298E-12
68129,1310625.90870762,85.2508142251353,,,
46416,1874303.05793354,83.52727402675,,,
31623,2681148.71270405,81.5495659149082,,,
21544,3799061.56877933,80.113341605008,,,
14678,5314475.97108546,78.1891901256594,,,
10000,7445932.5409124,76.2516614910453,,,
6812.9,10251838.5595117,73.9263134961587,,,
4641.6,13968941.7070953,71.8497233827518,,,
3162.3,18907288.4728938,69.679876208316,,,
2154.4,25316261.8956015,67.7091367303386,,,
1467.8,33497231.0848364,65.4382834805275,,,
1000,43769249.3903314,63.8391933242264,,,
681.29,56698685.1280186,62.4757765267232,,,
464.16,73319649.6982398,61.4624808929244,,,
316.23,95541433.229227,60.8234231786224,,,
215.44,125272715.222773,60.3746007210007,,,
146.78,161955434.43651,59.1030056394149,,,
100,208626019.936147,57.4359682946593,,,
68.129,268344744.432597,55.499535223815,,,
46.416,340911605.889005,52.4476571670469,,,
31.623,424525321.644009,49.2283901655314,,,
21.544,520219527.755267,46.470767786093,,,
14.678,627445654.381775,45.6681634393697,,,
10,741211365.973891,41.0927886048602,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,675095.236149762,82.498598308716,196890,722380000,4.3466E-12
68129,957755.603574137,80.3294996760978,,,
46416,1327224.73827395,78.9100121495855,,,
31623,1834158.9506862,78.2754407429402,,,
21544,2542585.76525111,78.3378436898404,,,
14678,3535429.81074249,78.4092504164412,,,
10000,4967033.87813953,78.5918625989542,,,
6812.9,6957643.58824916,78.8254690726765,,,
4641.6,9743021.69879839,78.9929024639749,,,
3162.3,13690897.5830478,78.7955855434432,,,
2154.4,19265695.1528723,78.4889604843763,,,
1467.8,27095151.8912075,77.9219973432814,,,
1000,37872496.3662819,77.1788935366221,,,
681.29,52891363.3343882,76.0511785151916,,,
464.16,73927562.9184646,74.7054481570814,,,
316.23,102077447.297117,72.4983761667023,,,
215.44,141218881.46694,70.2157466094074,,,
146.78,188686666.544299,67.1938505273592,,,
100,253126573.15307,63.8982798954031,,,
68.129,330302380.524928,59.9332988004104,,,
46.416,427316305.25057,55.8927045068727,,,
31.623,537717715.54174,51.5352755172568,,,
21.544,656076773.045646,47.6632305908402,,,
14.678,793417967.070858,42.6433144083857,,,
10,956232068.008949,37.2776743486031,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,891535.545673941,81.4833124612699,251000,916600000,3.2044E-12
68129,1246801.27279609,80.4153329452032,,,
46416,1749712.54395927,79.9169163660432,,,
31623,2442276.04923865,79.8216400659768,,,
21544,3451768.48830661,79.9101116877044,,,
14678,4842698.70697775,79.6209302388441,,,
10000,6815388.7044923,79.4019803253494,,,
6812.9,9570525.71746249,79.3959689063446,,,
4641.6,13446917.9262808,79.0541211363242,,,
3162.3,18912190.645647,78.3780403853982,,,
2154.4,26433238.5615151,78.1212398242414,,,
1467.8,37133163.0201842,77.2469681199163,,,
1000,51904495.7686076,76.3088224956985,,,
681.29,72201653.2375625,74.8605008693815,,,
464.16,100053005.337278,73.457170659988,,,
316.23,137755656.225679,71.4273759510057,,,
215.44,186478203.098303,69.0549838346856,,,
146.78,250491690.420716,65.4797601348217,,,
100,331661460.856161,62.1539288172375,,,
68.129,434339985.709478,58.480904402349,,,
46.416,554540329.696592,55.5007525626259,,,
31.623,700140634.192226,51.5884721940765,,,
21.544,881349692.696092,48.0668012231675,,,
14.678,1092297411.98936,42.8760159279915,,,
10,1318897594.44044,39.3230928726027,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,977922.831672172,90.8338417343991,48406,1273900000,2.2064E-12
68129,1440270.6305126,89.3459740606973,,,
46416,2119914.70664367,88.0443865632362,,,
31623,3057087.8052976,86.8702224390376,,,
21544,4455130.91328887,86.1573536376559,,,
14678,6377310.5722587,85.1000271473474,,,
10000,9199694.46224984,84.0682746792081,,,
6812.9,13078023.6740631,83.1495260099613,,,
4641.6,18679295.9849379,82.3806265031201,,,
3162.3,26624865.1910524,81.2929424049947,,,
2154.4,37633585.6182969,80.230050858603,,,
1467.8,52969618.5662767,78.6316077591185,,,
1000,74454051.0400997,77.3165598707068,,,
681.29,104091155.876434,76.0425033011143,,,
464.16,145586025.129981,74.0255770380686,,,
316.23,199024341.711178,71.3562931265184,,,
215.44,270745760.341674,69.9856173943709,,,
146.78,366780179.541548,65.3813940244702,,,
100,483972038.008194,61.2238495453977,,,
68.129,635137883.280644,57.1936629304346,,,
46.416,808588238.9716,52.4346076251893,,,
31.623,1031971975.05755,45.6896297030563,,,
21.544,1219767648.59308,41.9518968261252,,,
14.678,1414430877.99138,33.7180150160384,,,
10,1605538967.64489,31.2028406972461,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,934479.973638224,86.2433269363453,241430,1156200000,4.2099E-12
68129,1354873.77269532,83.2895965511776,,,
46416,1918143.05437544,81.24637321683,,,
31623,2696487.8315035,79.4151008868196,,,
21544,3745357.31145269,77.744380788587,,,
14678,5170770.72742919,76.2114713982558,,,
10000,7136427.50885835,75.1241053511048,,,
6812.9,9784000.0623694,74.1717909427311,,,
4641.6,13315844.1637126,73.5441554983453,,,
3162.3,18189030.767168,72.7202692717864,,,
2154.4,24765838.3917615,71.9018718194079,,,
1467.8,33545182.2896916,71.2330643581597,,,
1000,45313960.1055483,70.7435069715769,,,
681.29,61145969.4110475,69.9940403050681,,,
464.16,82448382.4815579,69.4890688927966,,,
316.23,110285738.020445,68.5686995578042,,,
215.44,148179440.211759,68.5807737257681,,,
146.78,198491957.17314,68.5068763776867,,,
100,265149887.955658,67.4963820473804,,,
68.129,361646750.995002,67.0745244672947,,,
46.416,488537239.021119,65.5504245369714,,,
31.623,680739804.42841,62.4912748605283,,,
21.544,865273578.901031,57.3854263500315,,,
14.678,1132717519.39452,49.7942068101502,,,
10,1478392429.07589,45.9437038582078,,,
