f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,124886.7531,88.343017,4464.9,30333000000,1.31E-11
68129,183594.8441,88.6606637,,,
46416,269112.7806,88.89572126,,,
31623,394230.665,89.07082771,,,
21544,577802.3454,89.29451282,,,
14678,844792.6425,89.2737782,,,
10000,1239432.908,89.340145,,,
6812.9,1814729.149,89.41665793,,,
4641.6,2660129.034,89.44643064,,,
3162.3,3896925.242,89.48549323,,,
2154.4,5716638.388,89.50882041,,,
1467.8,8371652.357,89.38504761,,,
1000,12261630.06,89.33667085,,,
681.29,17941830.87,89.31963862,,,
464.16,26276178.33,89.18042814,,,
316.23,38362570.52,89.13914824,,,
215.44,56204082.02,89.13267921,,,
146.78,82063940.18,88.91966791,,,
100,120484021.8,89.09494987,,,
68.129,175675487.2,89.0014709,,,
46.416,255540640,88.90200988,,,
31.623,375629420.5,89.10561988,,,
21.544,552330087.8,89.0699236,,,
14.678,781249142.3,87.87018606,,,
10,1148743944,88.73647396,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,528755.746706623,90.7476319020602,1905.8,46183000000,3.2168E-12
68129,781834.828362965,89.9225098478196,,,
46416,1145619.41583676,89.696707502585,,,
31623,1677456.03058374,89.3850903234743,,,
21544,2455499.47767711,89.3570795543615,,,
14678,3573562.69860178,88.8783458457645,,,
10000,5225785.47215741,88.6844291525396,,,
6812.9,7625969.13153975,88.6688243608675,,,
4641.6,11140739.574617,88.596324879688,,,
3162.3,16324164.5906158,88.6311949082648,,,
2154.4,23692682.6726445,88.4715892586494,,,
1467.8,34630457.0749081,88.5473657071499,,,
1000,50533308.4287818,88.405173073461,,,
681.29,73188395.5609708,88.1706561164041,,,
464.16,107586271.58498,88.2337832881201,,,
316.23,156593116.541653,88.3633141661546,,,
215.44,228874392.549711,87.2002314882185,,,
146.78,330751718.507304,87.751195568436,,,
100,481094570.309495,86.6165818900415,,,
68.129,698364504.745651,87.5254660498523,,,
46.416,1014523404.59797,87.0101290857229,,,
31.623,1425369043.67261,87.9691336656092,,,
21.544,2032544832.16997,85.9851351636767,,,
14.678,2963514555.67432,85.1757313755123,,,
10,4582693692.94975,87.3147490956364,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,877160.098625932,90.6012330639139,29349,4202800000,2.2486E-12
68129,1297743.07785538,89.1069501116418,,,
46416,1889409.3820645,88.6518877681606,,,
31623,2739728.95850837,87.8035070904613,,,
21544,4027976.51212697,87.3497208570169,,,
14678,5782594.75893942,86.9264301315408,,,
10000,8411678.79526945,86.6411264333791,,,
6812.9,12159771.000938,86.4318411951253,,,
4641.6,17510539.2736744,85.9241327866197,,,
3162.3,25232367.4299587,86.0207740713809,,,
2154.4,36683995.9822288,85.2049983313022,,,
1467.8,52934212.0326126,84.8989978603246,,,
1000,76191779.4613804,84.3450834716119,,,
681.29,109865260.07406,83.4866702147872,,,
464.16,157611290.940044,82.547543772294,,,
316.23,222545524.275002,80.8409694395228,,,
215.44,314307997.660938,80.0891270954236,,,
146.78,443196751.515208,76.900279230798,,,
100,624394177.075156,74.912271321139,,,
68.129,842099326.120121,72.8320342216392,,,
46.416,1167202656.69224,69.7640017169399,,,
31.623,1552455502.30268,67.3750759958319,,,
21.544,2125931432.35485,60.3544489120806,,,
14.678,2877151704.15581,58.8569627396876,,,
10,3566686650.9517,50.7879558667566,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,1116893.39644342,96.3956770803986,-204580,12968000000,1.228E-12
68129,1694662.97548755,96.0130225085372,,,
46416,2546219.43290418,96.1663630301609,,,
31623,3845848.40801935,96.9996865862698,,,
21544,5806845.00555008,97.0874664989977,,,
14678,8896993.9741102,97.0216467123207,,,
10000,13642535.4482416,96.7211970240204,,,
6812.9,20387837.1522085,96.2390572555962,,,
4641.6,30921723.4681393,95.505750129815,,,
3162.3,46789410.360716,94.5110810054744,,,
2154.4,70524231.9090883,94.2033471747431,,,
1467.8,106124710.071154,93.0335910155788,,,
1000,158639759.150458,91.1697264342855,,,
681.29,232450180.523583,89.5073659427169,,,
464.16,343064907.871478,86.7615433292616,,,
316.23,486586329.504952,85.9593788641602,,,
215.44,711126694.362113,82.6691311408503,,,
146.78,994991802.381422,80.5628287067236,,,
100,1387824778.07751,75.9991522453611,,,
68.129,1910182479.63529,74.5299975089368,,,
46.416,2655524408.30644,71.1689067671885,,,
31.623,4018999166.56387,75.3515650071294,,,
21.544,4519600325.67195,67.0516652184855,,,
14.678,6728864567.40022,72.002400124192,,,
10,7073135834.93846,63.2453425663268,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,534544.293149505,87.7968554086906,101400,5662300000,1.187E-11
68129,791339.694732956,87.8747524035911,,,
46416,1156129.74152254,86.7774821405083,,,
31623,1681042.65410986,85.3124148970615,,,
21544,2459762.80283001,83.3996050616531,,,
14678,3511988.63689589,79.3567674936562,,,
10000,5009455.84747459,75.4380664506913,,,
6812.9,6919413.66077396,70.0106752953321,,,
4641.6,9231446.79816795,64.1675176279501,,,
3162.3,11839617.6354454,58.4395397360016,,,
2154.4,14090618.0558971,53.7136536133278,,,
1467.8,15223113.517048,53.0543014090133,,,
1000,18471005.7050533,56.0882042622727,,,
681.29,22052608.8538773,63.5593593445627,,,
464.16,28829780.4364489,70.6651984347404,,,
316.23,40689020.7829466,73.2130849059418,,,
215.44,57496801.1110009,76.4795564533719,,,
146.78,81205285.1764705,79.3811058280249,,,
100,116484586.908647,80.8226153265837,,,
68.129,167257557.346463,83.3678086065684,,,
46.416,241110802.476551,83.3159929249173,,,
31.623,351070205.871116,83.7092154504261,,,
21.544,498304717.103425,84.1892292507124,,,
14.678,717234464.95565,85.24365796098,,,
10,1059462803.47889,85.164053338165,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,121672.851518739,87.3792974694583,8287.8,5547300000,1.4976E-11
68129,178271.846966693,87.66001012859,,,
46416,260186.912117724,87.8549583916406,,,
31623,379660.182133932,87.9121869510626,,,
21544,553347.541373835,87.963369275506,,,
14678,804899.779590509,87.9526827484851,,,
10000,1173344.1503142,87.9729683347834,,,
6812.9,1708227.45148454,87.9363909777022,,,
4641.6,2487999.4685423,87.9110902461995,,,
3162.3,3620179.72199459,87.8604157972694,,,
2154.4,5264506.83561958,87.750249169028,,,
1467.8,7661230.27768742,87.5818325754435,,,
1000,11142540.8202817,87.4823398797674,,,
681.29,16196230.9898028,87.3548348349578,,,
464.16,23507989.4618313,87.2193410778991,,,
316.23,34340950.3479911,86.9269582040802,,,
215.44,50216649.9346893,86.9179748671768,,,
146.78,70569196.706474,87.3341092318348,,,
100,114914396.974931,91.4277130539762,,,
68.129,152002940.178661,88.0100603684079,,,
46.416,204244590.961121,78.0323065931142,,,
31.623,280797670.614936,88.5728030895658,,,
21.544,363126327.254277,83.639163320811,,,
14.678,628886308.674594,85.7360321383865,,,
10,922265889.408301,82.9001155965842,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,545683.787054423,84.9405653351675,212510,50252000,9.407E-12
68129,798849.069827601,82.5752515567513,,,
46416,1160172.39551265,80.6072490118201,,,
31623,1649258.00749814,76.8073569469504,,,
21544,2343135.01692601,72.4669177701614,,,
14678,3193501.5727672,66.808714842549,,,
10000,4225029.07400933,59.9234141812478,,,
6812.9,4796885.34895998,51.1069416117184,,,
4641.6,5942755.40470832,47.597116524977,,,
3162.3,6632666.49852678,46.832057796407,,,
2154.4,7797607.20676201,48.8057429071924,,,
1467.8,10630077.5030197,46.9609389118233,,,
1000,12758837.0061499,51.7899411048252,,,
681.29,16660564.0180997,51.5246097095033,,,
464.16,21698213.4742934,54.7314421921612,,,
316.23,28534084.1870598,51.2247716206162,,,
215.44,36020306.0862382,44.7512791674277,,,
146.78,43351592.6199145,38.5329655833106,,,
100,49370832.0001337,32.2183334606029,,,
68.129,54418637.485266,27.1075121946501,,,
46.416,59044436.8311687,23.5632723795107,,,
31.623,63578461.0511541,21.425952363169,,,
21.544,67851700.6385422,20.7079332651977,,,
14.678,72327443.000618,21.6425501640621,,,
10,78088270.8442516,22.9831556209582,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,483355.894354501,90.2534629516175,8064.6,13867000000,3.6174E-12
68129,713342.404346144,89.5860401073451,,,
46416,1045680.39892937,89.182742798413,,,
31623,1523895.63703417,88.9516204803906,,,
21544,2232267.02521826,88.9038964605708,,,
14678,3243338.26673509,88.4556150040246,,,
10000,4733885.06660423,88.3688947823277,,,
6812.9,6895400.6594392,88.1295576537359,,,
4641.6,10044400.4931496,88.3342473353289,,,
3162.3,14615693.6100052,88.1109036779354,,,
2154.4,21292626.9196174,87.9637010821746,,,
1467.8,31063276.9426906,87.8092888662371,,,
1000,45150304.065319,87.641047741734,,,
681.29,65435715.1616893,87.527035258706,,,
464.16,94446291.040772,87.1055316621981,,,
316.23,139133515.484338,86.9345451091624,,,
215.44,198522241.109433,86.6416094825043,,,
146.78,291108669.324182,85.946644772298,,,
100,413583043.411214,85.5804286110577,,,
68.129,611297904.38791,85.4385400651387,,,
46.416,873680308.701529,83.9539083670447,,,
31.623,1290633340.47463,82.6677290994364,,,
21.544,1789467869.44345,80.269618778329,,,
14.678,2560525368.60868,82.3975647833263,,,
10,3758200763.21475,76.1133725154524,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,508968.207609259,90.3279216799415,9732.5,15294000000,3.4848E-12
68129,751721.006745683,89.5492370928157,,,
46416,1098886.94541344,89.0351374165581,,,
31623,1604471.00515704,88.7487802286369,,,
21544,2344518.7256662,88.6222154447709,,,
14678,3400544.98693435,88.2959779040983,,,
10000,4969785.68051402,88.1369851929482,,,
6812.9,7234851.18969992,88.0554956725493,,,
4641.6,10522497.6055111,87.9117602677802,,,
3162.3,15287472.7184981,87.8673287786426,,,
2154.4,22213691.0887845,87.641143861669,,,
1467.8,32407635.7064168,87.520302433813,,,
1000,46936772.6157036,87.2957297893696,,,
681.29,68399324.3674141,87.1618258233431,,,
464.16,98972982.4504469,86.3553517072564,,,
316.23,143580915.49321,86.5862361357724,,,
215.44,208954507.301087,85.6297574288266,,,
146.78,299779514.261281,85.753223483626,,,
100,425703514.020272,84.5212084551024,,,
68.129,623679768.979787,84.5973436316483,,,
46.416,888302076.196618,84.3039577075483,,,
31.623,1282235002.43744,83.4400992128722,,,
21.544,1921707150.04975,84.4474906761453,,,
14.678,2677934988.54984,80.6138585639149,,,
10,3800124725.6765,77.5341824759167,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,111725.884647564,87.1839595065899,8164.1,4172700000,1.6077E-11
68129,163412.88688465,87.4760447849467,,,
46416,238432.268014724,87.6633776737973,,,
31623,347579.472507065,87.846405819362,,,
21544,506727.288535366,87.9047867688272,,,
14678,736730.182878104,87.827615005779,,,
10000,1074821.69911402,87.8296365369618,,,
6812.9,1563408.48340583,87.7374699697036,,,
4641.6,2273777.29177632,87.678329808256,,,
3162.3,3307038.75085606,87.5232003333305,,,
2154.4,4802268.29875424,87.4100107890562,,,
1467.8,6965155.93807463,87.1901513094081,,,
1000,10103181.8573507,87.137999013307,,,
681.29,14655081.7206085,87.0668637842838,,,
