f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (?),#NAME?,Output Rs.R (?),Output Rct.R (?),Output C.C (F)
100000,220076.4728,89.38621457,4690.1,71105000000,7.48E-12
68129,323853.3301,89.23433099,,,
46416,475533.5358,89.26555607,,,
31623,695059.2612,89.2022563,,,
21544,1017889.984,89.24324734,,,
14678,1487787.629,89.12735878,,,
10000,2180631.597,89.14989888,,,
6812.9,3183443.608,89.14830126,,,
4641.6,4668946.603,89.23646348,,,
3162.3,6835488.141,89.24181583,,,
2154.4,9976938.377,89.2134793,,,
1467.8,14602038.12,89.18852631,,,
1000,21374381.22,89.21503437,,,
681.29,31316435.85,89.31348698,,,
464.16,45825250.22,89.1248978,,,
316.23,67215993.47,89.2003289,,,
215.44,97873649.09,89.20373449,,,
146.78,143371019.4,88.90929633,,,
100,210680754.1,88.9354076,,,
68.129,306006604.8,89.09547797,,,
46.416,447301961.3,88.77426381,,,
31.623,653207021,88.85674139,,,
21.544,964733354,89.1022105,,,
14.678,1377849715,87.18500763,,,
10,1942213539,90.31032047,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,122633.0205,87.9919394,5738.8,34559000000,1.36E-11
68129,179993.3168,88.27972782,,,
46416,263536.5564,88.51697398,,,
31623,385145.3424,88.730192,,,
21544,564146.485,88.85521639,,,
14678,823281.3147,88.84721233,,,
10000,1205921.205,88.89979359,,,
6812.9,1762395.728,89.01189314,,,
4641.6,2577392.154,89.01454831,,,
3162.3,3770918.784,89.05976548,,,
2154.4,5509718.606,89.11689587,,,
1467.8,8066079.135,89.00618559,,,
1000,11797046.36,89.02284733,,,
681.29,17242093.85,89.07054586,,,
464.16,25201014.93,88.96847211,,,
316.23,36842302.23,88.91592775,,,
215.44,53945409.25,88.86404491,,,
146.78,78576354.54,88.62924066,,,
100,114684455.5,88.53199122,,,
68.129,167567661.4,88.57359393,,,
46.416,243891005.9,88.63969995,,,
31.623,357088946,88.70684825,,,
21.544,520728741.6,89.11690553,,,
14.678,753400000.5,88.4721303,,,
10,1123180489,89.28140191,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,460513.3729,89.36701845,24915,1224100000,4.82E-12
68129,676635.6303,88.53872638,,,
46416,988022.133,88.12779487,,,
31623,1432286.419,87.77465881,,,
21544,2093119.914,87.50732818,,,
14678,3019034.141,86.79382773,,,
10000,4390375.662,86.2783881,,,
6812.9,6338527.963,85.68016462,,,
4641.6,9122280.115,84.93439109,,,
3162.3,13160259.91,84.32059291,,,
2154.4,18888389.91,83.36864967,,,
1467.8,26986359.52,82.02962184,,,
1000,38504366.67,80.70821902,,,
681.29,54258786.07,78.80596149,,,
464.16,76093946.51,76.74962765,,,
316.23,105062263.3,74.15963855,,,
215.44,142250630.8,72.1831966,,,
146.78,191421504.2,70.42044178,,,
100,258229942.4,68.99353189,,,
68.129,345699179,68.47810554,,,
46.416,464543591,67.1508138,,,
31.623,618330313.3,65.4871095,,,
21.544,826505261.3,62.65707002,,,
14.678,1016774645,62.40167699,,,
10,1359319642,58.85299127,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,559981.4099,90.94805761,3784.7,1463300000,3.23E-12
68129,828803.2555,90.10076187,,,
46416,1215546.302,89.56005737,,,
31623,1774291.783,89.14329636,,,
21544,2598565.941,88.7768314,,,
14678,3787395.674,88.3022313,,,
10000,5542754.281,87.79141076,,,
6812.9,8066603.324,87.21084432,,,
4641.6,11666406.55,87.01904322,,,
3162.3,16997239.49,86.36493599,,,
2154.4,24488255.5,85.74323414,,,
1467.8,35387083.81,84.7631236,,,
