f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,104824.9609,87.98642562,4816.6,15560000000,1.59E-11
68129,153854.3696,88.3159151,,,
46416,225289.4147,88.57427266,,,
31623,329548.1267,88.75251056,,,
21544,482229.7349,88.89442133,,,
14678,704282.0593,88.93131779,,,
10000,1031529.092,89.00194497,,,
6812.9,1508283.851,89.05136953,,,
4641.6,2206864.409,89.08303154,,,
3162.3,3229570.727,89.11149437,,,
2154.4,4724330.743,89.16053351,,,
1467.8,6909385.747,89.0127546,,,
1000,10104177.58,88.95809595,,,
681.29,14791339.28,88.89348824,,,
464.16,21615131.29,88.80891845,,,
316.23,31561458.84,88.62716803,,,
215.44,46036196.47,88.49356569,,,
146.78,67052978.83,88.26312611,,,
100,97461196.38,88.13451769,,,
68.129,142529563.9,88.15010609,,,
46.416,206780310.6,88.09918676,,,
31.623,303156772.5,87.56473616,,,
21.544,440897449.1,88.11383413,,,
14.678,629655242.5,88.45549507,,,
10,928744519.6,87.4251592,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,583337.4657,89.47754291,39647,494150000,3.69E-12
68129,858333.2502,88.23171655,,,
46416,1249641.813,87.5105474,,,
31623,1816576.984,86.78979018,,,
21544,2620740.582,86.29247116,,,
14678,3776399.733,85.26595666,,,
10000,5451895.115,84.45652534,,,
6812.9,7799608.891,83.78173902,,,
4641.6,11197399.53,82.75701675,,,
3162.3,16036474.62,81.67223506,,,
2154.4,22765207.9,80.17713861,,,
1467.8,32314774.47,77.86284555,,,
1000,45435627.63,75.45617496,,,
681.29,62610372.83,72.22576927,,,
464.16,85196869.1,69.09018242,,,
316.23,113058416,65.35199327,,,
215.44,147984514.4,61.87741543,,,
146.78,189667568.5,58.90551752,,,
100,242249170.3,56.02641431,,,
68.129,310578666.8,52.82869389,,,
46.416,390039901,48.55509754,,,
31.623,479262518.2,44.86003321,,,
21.544,567539101.1,40.02779279,,,
14.678,660308045.9,36.35331732,,,
10,742058054.3,33.96273137,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,769313.3648,91.10538873,10183,1277600000,2.39E-12
68129,1142022.612,89.98478129,,,
46416,1668855.75,89.22495047,,,
31623,2436384.264,88.46232676,,,
21544,3558551.098,88.17119161,,,
14678,5162003.672,87.57373246,,,
10000,7523128.198,86.88637548,,,
6812.9,10890442.94,86.52633503,,,
4641.6,15827099.41,85.9681301,,,
3162.3,22746524.01,85.78167142,,,
2154.4,32695255.77,84.65659456,,,
1467.8,47136957.52,83.40042289,,,
1000,67677429.27,82.1143461,,,
681.29,96787711.91,80.33440108,,,
464.16,137726651.5,78.64027588,,,
316.23,197006101.4,75.68743345,,,
215.44,271974235.4,73.14868918,,,
146.78,375319138.2,68.02763033,,,
100,507464767.1,62.33278495,,,
68.129,664766446.1,56.27148493,,,
46.416,827228924.6,49.24525754,,,
31.623,953117829.6,40.7329882,,,
21.544,1161064750,39.35334352,,,
14.678,1326460275,34.27453338,,,
10,1441051283,32.54479193,,,
