f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (?),#NAME?,Output Rs.R (?),Output Rct.R (?),Output C.C (F)
100000,492694.1082,90.64556411,4453.6,40532000000,3.50E-12
68129,728056.7861,89.78186406,,,
46416,1068853.591,89.40744236,,,
31623,1559418.318,89.2142005,,,
21544,2279499.326,89.01855203,,,
14678,3322467.726,88.66173451,,,
10000,4856369.535,88.50237732,,,
6812.9,7086012.465,88.33150568,,,
4641.6,10292530.97,88.43903932,,,
3162.3,15013364.97,88.28293896,,,
2154.4,21804299.26,88.2999125,,,
1467.8,31889020.25,87.94449813,,,
1000,46381815.95,88.02944629,,,
681.29,67962012.13,87.98399806,,,
464.16,99070128.26,87.33823333,,,
316.23,142553812.9,88.25516207,,,
215.44,208117839.3,87.37497547,,,
146.78,301872889.6,87.21786566,,,
100,436563639.6,86.5046924,,,
68.129,629053839.7,86.63668373,,,
46.416,913269369.2,87.23818738,,,
31.623,1337758769,87.54298656,,,
21.544,1852680051,86.13586163,,,
14.678,2970129888,85.76300925,,,
10,3784579904,86.88198836,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,12007.05565,2.813389167,8790.4,3310.6,8.82E-11
68129,12058.70163,1.929924091,,,
46416,12079.47435,1.321824488,,,
31623,12089.3328,0.904372167,,,
21544,12093.16929,0.616210077,,,
14678,12096.80049,0.423339076,,,
10000,12097.88846,0.288109941,,,
6812.9,12097.50408,0.198397657,,,
4641.6,12098.42917,0.134541254,,,
3162.3,12097.4135,0.093865735,,,
2154.4,12098.74321,0.064405611,,,
1467.8,12101.49324,0.044909897,,,
1000,12102.31814,0.029615555,,,
681.29,12106.87264,0.019763871,,,
464.16,12104.31942,0.013738529,,,
316.23,12102.42726,0.010295218,,,
215.44,12099.50938,0.006667687,,,
146.78,12103.51619,0.004177701,,,
100,12100.50838,0.001016074,,,
68.129,12104.84234,-0.004852114,,,
46.416,12104.01931,-0.003246446,,,
31.623,12099.73522,-0.009630866,,,
21.544,12101.43401,0.002629591,,,
14.678,12100.52911,0.00587529,,,
10,12102.93666,0.000345917,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
