IDE-name,Date,,,,,,,,,,,,,,,,,,,,,,,,,
22-4-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
22-4-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
22-8-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
22-8-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
22-16-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
22-16-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
26-2-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
26-2-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
26-4-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
26-4-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
26-8-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
26-8-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
26-16-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
26-16-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
27-2-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
