f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (?),#NAME?,Output Rs.R (?),Output Rct.R (?),Output C.C (F)
100000,507771.5934,90.89060932,-1932.7,1.87E+11,3.25E-12
68129,751537.1539,90.24412522,,,
46416,1102133.399,89.95758208,,,
31623,1611126.426,89.53159399,,,
21544,2362568.307,89.38475095,,,
14678,3453095.277,89.23328186,,,
10000,5064612.451,89.25333913,,,
6812.9,7392377.832,89.16834777,,,
4641.6,10806260.43,89.2741062,,,
3162.3,15818065.32,89.31726517,,,
2154.4,23166403.52,89.29848708,,,
1467.8,33829088.96,89.10171176,,,
1000,49835079.46,89.25799844,,,
681.29,72550073.88,89.14621395,,,
464.16,106462996,89.53025157,,,
316.23,155772515,88.99425071,,,
215.44,227183146,88.99470275,,,
146.78,331016968.6,88.93212407,,,
100,490922261.1,89.45957017,,,
68.129,706356022.7,88.6371488,,,
46.416,1019945396,88.82509383,,,
31.623,1432485192,90.37779425,,,
21.544,2218136714,86.0068287,,,
14.678,3084427587,89.83387911,,,
10,4458946797,89.84899665,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,362921.5094,90.38130122,4147.8,23177000000,4.87E-12
68129,535556.2356,89.74377029,,,
46416,784933.6754,89.479848,,,
31623,1148085.985,89.16747412,,,
21544,1683698.719,89.00854797,,,
14678,2446753.852,88.84546751,,,
10000,3584557.733,88.68589765,,,
6812.9,5225505.534,88.55998642,,,
4641.6,7608803.777,88.40950628,,,
3162.3,11080643.55,88.29426165,,,
2154.4,16167475.99,88.10917553,,,
1467.8,23429313.61,87.6726732,,,
1000,33781169.89,87.01089208,,,
681.29,48744914.44,86.8190184,,,
464.16,70596230.33,86.57355363,,,
316.23,101909793.9,86.54658456,,,
215.44,146284421.2,85.57644891,,,
146.78,212295008.2,86.62388721,,,
100,309278256.7,85.82725235,,,
68.129,443377378.3,85.9479907,,,
46.416,641825880.3,86.55666365,,,
31.623,949138669,85.96194198,,,
21.544,1334843226,84.9215495,,,
14.678,1844566099,88.05402537,,,
10,2915370292,84.28064446,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,465883.2664,89.91346328,11736,11090000000,3.94E-12
68129,687453.8215,89.25367504,,,
46416,1004283.721,88.92687222,,,
31623,1464658.746,88.73347773,,,
21544,2143104.887,88.7574335,,,
14678,3118599.742,88.37182356,,,
10000,4558111.32,88.28767437,,,
6812.9,6643992.599,88.07296215,,,
4641.6,9688026.05,87.93085914,,,
3162.3,14066076.9,87.73297212,,,
2154.4,20509675.98,87.42058234,,,
1467.8,29738586.27,87.14791665,,,
1000,43280281.03,86.69255716,,,
681.29,62447166.33,86.23502374,,,
464.16,90544613.55,85.67819371,,,
316.23,131366745.9,85.14555231,,,
215.44,184008609.9,84.59516035,,,
146.78,266311761.7,83.98035066,,,
100,380307643.3,83.39322137,,,
68.129,544080478.9,82.76343492,,,
46.416,779630088.9,82.02886479,,,
31.623,1121091662,80.21930918,,,
21.544,1555969056,81.68691591,,,
14.678,2169659864,78.18168561,,,
10,3025781836,80.86514183,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,610531.3769,90.0188659,29642,4225800000,3.66E-12
68129,903576.1523,88.86596986,,,
46416,1313678.897,88.17939253,,,
31623,1909220.411,87.7818493,,,
21544,2780747.588,87.37057006,,,
14678,4035443,86.72523144,,,
10000,5861197.155,86.00435408,,,
6812.9,8456482.484,85.24709518,,,
4641.6,12172949.15,84.47943443,,,
3162.3,17409048.27,83.69472323,,,
2154.4,24875398.48,82.7430589,,,
1467.8,35151041.95,81.88334837,,,
1000,49750938.82,81.15320312,,,
681.29,70266426.67,80.74549057,,,
464.16,98329965.69,79.7430573,,,
316.23,138102807.2,78.97355189,,,
215.44,193143516.3,78.71869559,,,
146.78,270277456.1,78.29517137,,,
100,380629862.6,77.47497884,,,
68.129,526168437.5,76.80893443,,,
46.416,745523627.6,74.98342391,,,
31.623,1030142404,72.59740007,,,
21.544,1361950326,72.85105466,,,
14.678,1878008558,74.0805811,,,
10,2614994610,66.31240674,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,566535.1285,86.50633403,102930,3246500000,4.71E-12
68129,821031.6819,84.96867434,,,
46416,1180422.701,83.82271539,,,
31623,1678596.548,82.60442945,,,
21544,2379139.495,81.26373682,,,
14678,3339680.163,80.25245726,,,
10000,4667203.865,79.43954314,,,
6812.9,6455552.806,79.11142647,,,
4641.6,8983055.796,79.62271593,,,
3162.3,12566867.9,80.10223985,,,
2154.4,17756039.97,80.96556756,,,
1467.8,25131252.83,81.50862283,,,
1000,35737328.22,82.11204207,,,
681.29,51140477.99,82.05482918,,,
464.16,73283944.04,82.39921977,,,
316.23,104841511.2,81.79733976,,,
215.44,149826519.5,80.71639822,,,
146.78,211555944.4,80.16889347,,,
100,300271719.6,78.97117584,,,
68.129,416037268.7,76.81898443,,,
46.416,574660126.4,75.45307548,,,
31.623,784779472.9,73.50207716,,,
21.544,1080177114,70.95869647,,,
14.678,1519226995,69.09142135,,,
10,2044062990,66.33228479,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,583423.9616,87.35157118,110830,1669400000,5.54E-12
68129,851883.5102,85.46122967,,,
46416,1230461,83.94288633,,,
31623,1758666.214,82.48836003,,,
21544,2496273.135,80.73312106,,,
14678,3503699.315,78.97836605,,,
10000,4895546.376,77.2308314,,,
6812.9,6704889.911,75.8722067,,,
4641.6,9141324.305,74.97037223,,,
3162.3,12443467.05,74.5117071,,,
2154.4,17029722.13,74.64105277,,,
1467.8,23256181.67,75.05703579,,,
1000,32008484.32,75.56870886,,,
681.29,44329856.93,76.07134051,,,
464.16,61759946,76.54382745,,,
316.23,86491041.81,76.51324666,,,
215.44,121630828.1,76.24425023,,,
146.78,167837553.1,75.5085355,,,
100,233962709.4,74.94075091,,,
68.129,322581846.7,73.30581064,,,
46.416,444236432.9,71.26227532,,,
31.623,602440335.8,69.17580357,,,
21.544,802945527.5,65.94228424,,,
14.678,1112300793,62.98591996,,,
10,1461302042,59.54929348,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,407670.3625,84.3345884,104050,101020000,7.12E-12
68129,590274.7593,82.97811988,,,
46416,844348.2203,81.69614853,,,
31623,1197557.791,80.15889925,,,
21544,1684818.48,78.39339835,,,
14678,2354358.203,76.64547593,,,
10000,3261937.548,74.72616959,,,
6812.9,4472833.984,72.93608793,,,
4641.6,6075891.537,70.96545481,,,
3162.3,8218044.809,69.19944618,,,
2154.4,11006864.42,66.97497199,,,
1467.8,14587174.68,65.07505111,,,
1000,19220430.2,63.20673436,,,
681.29,25179743.32,61.04188659,,,
464.16,32795059.72,58.70012317,,,
316.23,42694148.57,55.67970516,,,
215.44,54237279.02,52.69517485,,,
146.78,66640287.67,47.8623133,,,
100,75679401.35,40.6724895,,,
68.129,97074170.4,39.82121178,,,
46.416,118828175.3,40.16848853,,,
31.623,125514631,27.66873965,,,
21.544,151833443.9,28.76747493,,,
14.678,168841490.4,23.78376967,,,
10,170726885.2,19.81254444,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,278152.7975,56.03234113,164850,934880,1.23E-11
68129,348554.8333,50.19429025,,,
46416,425070.2145,44.88286967,,,
31623,503992.926,39.9615371,,,
21544,585988.1372,35.5927826,,,
14678,665147.7548,31.64897479,,,
10000,745521.4256,28.40409609,,,
6812.9,823111.4986,25.85134705,,,
4641.6,898148.5653,24.00431825,,,
3162.3,970953.901,22.99679296,,,
2154.4,1044776.08,22.97622779,,,
1467.8,1123730.93,24.03286106,,,
1000,1218266.976,26.44078905,,,
681.29,1338917.104,30.08169327,,,
464.16,1506047.288,34.82585283,,,
316.23,1744734.563,40.40820114,,,
215.44,2092401.784,46.40670878,,,
146.78,2604167.802,52.15737193,,,
100,3348635.511,57.43250112,,,
68.129,4413849.825,61.70536215,,,
46.416,5921479.761,64.88433697,,,
31.623,8024427.834,67.02738102,,,
21.544,10914802.58,68.26678756,,,
14.678,14874172.65,68.7390528,,,
10,20216236.13,68.5949781,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,200592.0061,43.20530144,280130,46413000,5.32E-10
68129,236397.4415,37.39652711,,,
46416,270678.9315,32.24195215,,,
31623,301703.026,27.84353081,,,
21544,329754.6639,24.3312068,,,
14678,353603.665,21.89989406,,,
10000,376499.3597,20.78873169,,,
6812.9,399280.7879,20.97450195,,,
4641.6,424922.8131,22.46487312,,,
3162.3,456367.6044,25.30891031,,,
2154.4,498772.077,29.47686742,,,
1467.8,559452.0817,34.774283,,,
1000,648959.2593,41.04414671,,,
681.29,782985.8886,47.65487597,,,
464.16,982387.678,54.00770313,,,
316.23,1274244.605,59.60680904,,,
215.44,1695136.649,64.21917548,,,
146.78,2299144.449,67.67934851,,,
100,3153887.731,70.33015718,,,
68.129,4356396.536,72.06974906,,,
46.416,6032359.627,73.05176233,,,
31.623,8358069.742,73.42055079,,,
21.544,11561105.63,73.24710572,,,
14.678,15939430.77,72.68144392,,,
10,21873022.99,71.71839198,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,344843.6401,64.55485467,115760,1230000,6.87E-12
68129,453859.6761,58.19067321,,,
46416,575111.7311,51.61950342,,,
31623,701538.9679,44.8917687,,,
21544,823882.6314,38.5319251,,,
14678,931487.6503,32.81253217,,,
10000,1027288.052,28.22900622,,,
6812.9,1109817.514,24.87336287,,,
4641.6,1182277.146,22.7324858,,,
3162.3,1249024.397,21.91093481,,,
2154.4,1317316.228,22.49373984,,,
1467.8,1397020.393,24.40562937,,,
1000,1501874.686,27.88195945,,,
681.29,1653153.01,32.73747228,,,
464.16,1880834.245,38.60703036,,,
316.23,2223521.364,44.99673907,,,
215.44,2737596.869,51.2400731,,,
146.78,3491811.104,56.71413091,,,
100,4570229.354,61.40699776,,,
68.129,6111480.047,65.02667914,,,
46.416,8274519.461,67.62246643,,,
31.623,11290536.19,69.22632378,,,
21.544,15466894.77,69.96606032,,,
14.678,21174890.3,69.97912749,,,
10,28911295.16,69.30395618,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,120080.7188,30.87379697,144920,57476000,3.74E-10
68129,131443.3104,27.15365597,,,
46416,142140.0753,25.01729787,,,
31623,152732.4943,24.34470849,,,
21544,164245.4503,25.08269026,,,
14678,177716.1565,27.11784201,,,
10000,195321.4174,30.65876097,,,
6812.9,220006.7659,35.40327088,,,
4641.6,255743.5387,40.97753495,,,
3162.3,307767.5601,46.86060324,,,
2154.4,383044.1112,52.53914171,,,
1467.8,491324.0963,57.55279928,,,
1000,644335.3835,61.90025733,,,
681.29,859763.5927,65.44541536,,,
464.16,1160901.017,68.27270545,,,
316.23,1581231.308,70.49686315,,,
215.44,2170566.595,72.20895871,,,
146.78,2995748.541,73.34890132,,,
100,4145535.758,74.23750996,,,
68.129,5751487.63,74.69309525,,,
46.416,7987006.423,74.73859095,,,
31.623,11075599.37,74.39720859,,,
21.544,15306518.9,73.73998824,,,
14.678,21078635.36,72.83692895,,,
10,28888122.5,71.54851814,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,131821.181710051,31.3511496481959,158530,66216000,2.5865E-10
68129,145360.762323559,28.911781032518,,,
46416,159296.659659582,27.9293674832267,,,
31623,174476.288974824,28.1919573713656,,,
21544,192223.653892692,29.5702355819076,,,
14678,213350.286235107,32.0023296198763,,,
10000,240916.726337039,35.6414963774764,,,
6812.9,278106.975392053,40.2795831602511,,,
4641.6,330933.77557742,45.5829831326381,,,
3162.3,406613.880453107,51.0873420349283,,,
2154.4,515975.616128532,56.3128000695608,,,
1467.8,672221.252567398,60.8051245291308,,,
1000,893648.208071741,64.603366001808,,,
681.29,1205621.96739934,67.5857986945362,,,
464.16,1639611.41275195,69.8530285173508,,,
316.23,2245842.60370621,71.5437663452064,,,
215.44,3090913.691409,72.7255413898749,,,
146.78,4270772.80546197,73.3927298766748,,,
100,5905269.87035134,73.7831855675011,,,
68.129,8167660.4029369,73.7014903686317,,,
46.416,11268677.3836867,73.2652065972879,,,
31.623,15474155.6973128,72.5170590181636,,,
21.544,21159929.2443268,71.5364187711218,,,
14.678,28809202.771989,70.3505387881812,,,
10,38956327.553709,68.9965785122529,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,236097.045523098,45.2510260811718,292690,72586000,1.6766E-10
68129,277132.383874797,39.8616379389122,,,
46416,316246.311740413,35.8951425700432,,,
31623,354885.525521218,33.3794007236658,,,
21544,394571.03351739,32.3393240917456,,,
14678,437312.318847066,32.7633434636281,,,
10000,490243.346775174,34.718631159473,,,
6812.9,558005.720251367,37.9619585484309,,,
4641.6,651676.432757801,42.1361388971765,,,
3162.3,782603.38741363,46.7514122497472,,,
2154.4,967256.37923747,51.3654196624902,,,
1467.8,1225855.51200013,55.5448661990134,,,
1000,1586649.36600913,59.2462019769232,,,
681.29,2086324.7695457,62.2479621722091,,,
464.16,2773121.18727312,64.577377932796,,,
316.23,3712405.52672064,66.3217857504499,,,
215.44,4992135.77114782,67.5902921949149,,,
146.78,6733358.27170756,68.3538454442615,,,
100,9106617.2898093,68.945063666254,,,
68.129,12330378.0913437,69.194550321027,,,
46.416,16684861.7951258,69.0615416543614,,,
31.623,22555608.8276213,68.6391095997838,,,
21.544,30351545.6518996,67.9580908538113,,,
14.678,40640336.5039092,67.1341460823967,,,
10,54284578.9427605,66.0746943500775,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,247944.940983211,49.7410005134374,299870,74820000,1.335E-10
68129,297532.112529981,43.8374495781596,,,
46416,344562.03492368,39.3552224958579,,,
31623,391474.784118363,36.3811977282515,,,
21544,439132.312687951,34.9753644017014,,,
14678,490600.255962559,35.2402770253304,,,
10000,554331.823041928,37.1672700577713,,,
6812.9,636925.915525846,40.4314306977729,,,
4641.6,751692.570377472,44.6029932102137,,,
3162.3,913387.483097763,49.2240203819591,,,
2154.4,1142085.94358495,53.7577356059336,,,
1467.8,1464761.20977733,57.7633179098855,,,
1000,1916982.93155609,61.145283108577,,,
681.29,2542153.99570118,63.7193626536738,,,
464.16,3398098.0514427,65.5347704440042,,,
316.23,4562276.75946281,66.7749866196217,,,
215.44,6133985.94048976,67.5675448919736,,,
146.78,8256995.45643739,67.8976612217308,,,
100,11113007.7477292,68.0988519283724,,,
68.129,14957583.6961768,68.0258362448875,,,
46.416,20104189.8067599,67.6764467737535,,,
31.623,26947717.3564816,67.0524076994386,,,
21.544,35988236.171118,66.1919625120741,,,
14.678,47743692.7471309,65.2769388748115,,,
10,63263368.5629621,64.0058201691632,,,
