f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (?),#NAME?,Output Rs.R (?),Output Rct.R (?),Output C.C (F)
100000,38746.80184,81.05493177,9800.3,2004000,5.64E-11
68129,55681.60637,80.69730324,,,
46416,79929.5758,80.24623342,,,
31623,114456.9602,79.07414093,,,
21544,163121.1883,77.09348714,,,
14678,230246.9816,74.13867265,,,
10000,321267.2398,70.20917713,,,
6812.9,438174.2126,65.08504598,,,
4641.6,578376.5635,58.99672504,,,
3162.3,732123.7284,52.49403462,,,
2154.4,886800.9381,46.55342206,,,
1467.8,1036995.31,41.96412272,,,
1000,1193327.089,39.34243893,,,
681.29,1372745.937,38.3234541,,,
464.16,1596621.84,38.20238753,,,
316.23,1881047.129,38.17456393,,,
215.44,2235722.546,37.89574386,,,
146.78,2649652.385,36.55920537,,,
100,3113499.979,35.42324094,,,
68.129,3630220.325,33.59583091,,,
46.416,4204233.581,31.77665721,,,
31.623,4810554.009,30.30216398,,,
21.544,5434145.995,27.47490371,,,
14.678,6268023.419,25.63315149,,,
10,6661993.77,23.39041855,,,
100000,29985.02795,70.1185834,,,
68129,42729.29555,75.56020481,,,
46416,61812.60217,79.14485888,,,
31623,90067.78636,81.21123943,,,
21544,131635.1539,82.00192206,,,
14678,192453.4369,81.61750356,,,
10000,280815.8794,80.00857606,,,
6812.9,407507.5294,76.97887143,,,
4641.6,584401.3238,72.21287066,,,
3162.3,818849.6163,65.38238979,,,
2154.4,1101375.378,56.4186542,,,
1467.8,1393747.057,45.91349115,,,
1000,1641601.135,35.19761549,,,
681.29,1812589.334,25.69624294,,,
464.16,1912473.365,18.16107984,,,
316.23,1964811.564,12.60123682,,,
215.44,1990612.086,8.660654231,,,
146.78,2002936.667,5.925038763,,,
100,2008735.923,4.044514643,,,
68.129,2011444.88,2.757977586,,,
46.416,2012705.971,1.879787811,,,
31.623,2013292.131,1.280940381,,,
21.544,2013564.392,0.87275337,,,
14.678,2013690.787,0.594634826,,,
10,2013749.466,0.405127698,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,491246.75032294,89.6504288506276,20141,6359700000,3.8533E-12
68129,721127.734902085,88.6718708161135,,,
46416,1051394.33920121,88.2830979983345,,,
31623,1521318.72951638,87.8600859982055,,,
21544,2218695.82091717,88.0695903125575,,,
14678,3214969.22879539,87.5795866368639,,,
10000,4679844.75615403,87.5057606746689,,,
6812.9,6781353.98013494,87.4389419949799,,,
4641.6,9866648.31925218,87.3907550181198,,,
3162.3,14321697.0497169,87.3044563554248,,,
2154.4,20792687.1129852,87.0969514162218,,,
1467.8,30195579.7278051,86.8045758809876,,,
1000,43889729.9441083,86.5320968628882,,,
681.29,63527057.8026399,85.9715225871058,,,
464.16,92696867.7796147,85.198483484798,,,
316.23,132688992.421719,84.3881113218399,,,
215.44,190585261.471262,83.8644560399431,,,
146.78,270267057.754509,82.2060011989198,,,
100,390329120.464534,80.8242501569729,,,
68.129,549454428.624418,80.3238094004997,,,
46.416,768611297.840097,78.9600415294585,,,
31.623,1083128305.93298,78.0890171305484,,,
21.544,1521461637.95127,74.0382656198367,,,
14.678,2123162007.07707,76.2077905231155,,,
10,2913372457.59591,67.9665836493739,,,
100000,413527.517801709,87.2045637404052,,,
68129,606591.332102813,88.0917637649271,,,
46416,890086.43789784,88.6953755755754,,,
31623,1306282.88378202,89.1047795211815,,,
21544,1917283.29741741,89.3808264447317,,,
14678,2814056.95259458,89.5645628107496,,,
10000,4130415.63839187,89.6833984006113,,,
6812.9,6062599.3619666,89.7550346058718,,,
4641.6,8898599.49026421,89.7901485410626,,,
3162.3,13061264.2786798,89.7939766809988,,,
2154.4,19171699.3809338,89.7670864658393,,,
1467.8,28139583.2487037,89.7054757925298,,,
1000,41302807.8819354,89.5999542803653,,,
681.29,60622935.504552,89.4347948799403,,,
464.16,88977146.8563628,89.1853956210498,,,
316.23,130585227.702057,88.8146179990027,,,
215.44,191630706.909532,88.2672864182929,,,
146.78,281123458.964406,87.4623854236401,,,
100,412168402.736198,86.2813078150199,,,
68.129,603520864.948607,84.5526823147139,,,
46.416,881273616.00545,82.0335309526977,,,
31.623,1279423958.3527,78.3933714737778,,,
21.544,1835585728.69664,73.2236351630198,,,
14.678,2573334357.31932,66.1316389421043,,,
10,3463938743.76902,56.9977128333336,,,
