f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,110170.9508,88.30700741,4092.7,18541000000,1.49E-11
68129,161829.2988,88.60078369,,,
46416,237259.832,88.86164896,,,
31623,347706.5559,89.0276142,,,
21544,509195.2153,89.21585944,,,
14678,744289.1292,89.2256824,,,
10000,1091656.347,89.29336943,,,
6812.9,1599539.627,89.32895743,,,
4641.6,2340989.195,89.3917277,,,
3162.3,3432903.374,89.39586688,,,
2154.4,5028694.653,89.44004875,,,
1467.8,7364956.854,89.28837637,,,
1000,10778189.95,89.27350378,,,
681.29,15785728.34,89.20543927,,,
464.16,23081242.71,89.23709839,,,
316.23,33880088.18,89.13084519,,,
215.44,49644127.15,88.97819727,,,
146.78,72201747.22,88.80548057,,,
100,105609600.6,88.76451873,,,
68.129,154446532.4,88.64372099,,,
46.416,224005989.2,88.29913791,,,
31.623,328437102.1,87.79270927,,,
21.544,478173545.3,88.3607694,,,
14.678,685198231.3,87.6480846,,,
10,1009242434,88.08720147,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,109686.3567,87.8371706,5740.1,4850600000,1.58E-11
68129,160942.2691,88.13941774,,,
46416,235633.6695,88.38610963,,,
31623,344205.3559,88.55835092,,,
21544,503069.6896,88.61940608,,,
14678,734811.9068,88.64241218,,,
10000,1075418.121,88.64262732,,,
6812.9,1570640.468,88.63346378,,,
4641.6,2295536.818,88.5941735,,,
3162.3,3351662.223,88.53758112,,,
2154.4,4892592.984,88.34435439,,,
1467.8,7133688.476,88.17714536,,,
1000,10406134.47,88.00396216,,,
681.29,15160740.71,87.77069977,,,
464.16,22066295.98,87.50768549,,,
316.23,32091152.45,87.28785535,,,
215.44,46456620.51,87.02912488,,,
146.78,67581723.73,86.49412177,,,
100,97864662.09,86.13057637,,,
68.129,141306459,85.67536557,,,
46.416,204439983.9,85.32488363,,,
31.623,295686056,84.74588229,,,
21.544,423100376.1,84.50123622,,,
14.678,586998521.5,83.26228582,,,
10,856596077.4,82.42908239,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,459620.4352,81.38584378,213380,2565600000,1.21E-11
68129,656235.8903,78.85696957,,,
46416,918796.1708,76.22398319,,,
31623,1271128.983,73.3065212,,,
21544,1733383.795,70.32931491,,,
14678,2315162.296,66.95339164,,,
10000,3036763.595,63.62167473,,,
6812.9,3861556.982,61.1298685,,,
4641.6,4813795.518,59.96830806,,,
3162.3,5968984.072,61.00098645,,,
2154.4,7517745.442,64.40117513,,,
1467.8,9847588.662,68.8087355,,,
1000,13408115.43,73.41180755,,,
681.29,18769185.9,77.23884616,,,
464.16,26769429.17,80.05214736,,,
316.23,38561786.74,82.11243974,,,
215.44,55762669.13,83.13315376,,,
146.78,80819472.51,83.59124842,,,
100,117261874.9,83.39808549,,,
68.129,169059821.8,83.22424764,,,
46.416,242479945.1,81.95747804,,,
31.623,350775947.2,80.12722866,,,
21.544,491713556.4,78.14403091,,,
14.678,677616555.3,77.03317384,,,
10,958048393.8,73.95431815,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,350553.9002,69.22305935,183490,9047600000,8.49E-12
68129,456845.5125,66.96639661,,,
46416,584415.4271,66.84393219,,,
31623,750691.3946,68.88667919,,,
21544,991574.7787,72.64465841,,,
14678,1350375.214,76.88416561,,,
10000,1906442.31,81.13407764,,,
6812.9,2747527.008,84.90766085,,,
4641.6,4046442.854,87.96515379,,,
3162.3,6056193.948,90.1276269,,,
2154.4,9194377.63,91.05111419,,,
1467.8,13910475.95,90.34537204,,,
1000,20728217.85,88.30594114,,,
681.29,29958682.62,86.00293709,,,
464.16,42360282.22,84.52584935,,,
316.23,59631804.87,84.17119274,,,
215.44,84803660.3,84.73379198,,,
146.78,121187882.3,85.0254109,,,
100,174740312,85.86719683,,,
68.129,252877793.3,85.66472364,,,
46.416,365458465.9,85.58012596,,,
31.623,523271984.7,85.10004103,,,
21.544,761917850.8,84.80972162,,,
14.678,1075426430,82.86389636,,,
10,1558363668,83.36772178,,,
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,143650.9916,82.26752609,27064,2207100000,1.34E-11
68129,203924.1338,83.31607028,,,
46416,288368.9855,83.24847392,,,
31623,408551.9292,83.78868303,,,
21544,583626.6639,84.66265133,,,
14678,837935.3417,85.44589408,,,
10000,1213530.977,86.18387396,,,
6812.9,1760813.68,86.72855876,,,
4641.6,2561357.346,87.10019915,,,
3162.3,3727337.051,86.9841066,,,
2154.4,5436031.874,86.30070892,,,
1467.8,7908745.686,86.33105932,,,
1000,11736731.71,81.72313158,,,
681.29,16985089.02,83.00315509,,,
464.16,24770239.58,82.34629265,,,
316.23,35851728.81,83.10836541,,,
215.44,51678669.26,83.88357478,,,
