f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,226974,89.9292,2700,2.34E+10,7.37E-12
68129,334304,89.6767,,,
46416,491161,89.5529,,,
31623,718040,89.295,,,
21544,1.05E+06,89.2525,,,
14678,1.54E+06,89.2779,,,
10000,2.26E+06,89.1887,,,
6812.9,3.30E+06,89.1266,,,
4641.6,4.84E+06,89.1955,,,
3162.3,7.07E+06,89.2334,,,
2154.4,1.03E+07,89.1307,,,
1467.8,1.51E+07,88.8658,,,
1000,2.22E+07,88.7463,,,
681.29,3.22E+07,88.5996,,,
464.16,4.73E+07,88.2921,,,
316.23,6.91E+07,88.0737,,,
215.44,1.00E+08,87.6719,,,
146.78,1.45E+08,87.5234,,,
100,2.11E+08,87.377,,,
68.129,3.03E+08,87.3853,,,
46.416,4.43E+08,87.5375,,,
31.623,6.33E+08,87.7748,,,
21.544,9.15E+08,87.0467,,,
14.678,1.34E+09,85.5282,,,
10,1.96E+09,87.7517,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,149877,89.3031,3020,3.56E+10,1.08E-11
68129,220773,89.2729,,,
46416,323723,89.3501,,,
31623,474165,89.3014,,,
21544,692965,89.3091,,,
14678,1.02E+06,89.3315,,,
10000,1.49E+06,89.3261,,,
6812.9,2.18E+06,89.389,,,
4641.6,3.19E+06,89.3981,,,
3162.3,4.68E+06,89.4301,,,
2154.4,6.86E+06,89.4088,,,
1467.8,1.00E+07,89.3986,,,
1000,1.47E+07,89.4317,,,
681.29,2.15E+07,89.3616,,,
464.16,3.15E+07,89.479,,,
316.23,4.61E+07,89.3735,,,
215.44,6.76E+07,89.1711,,,
146.78,9.89E+07,89.1797,,,
100,1.45E+08,89.1774,,,
68.129,2.12E+08,89.2074,,,
46.416,3.11E+08,89.0065,,,
31.623,4.45E+08,89.2523,,,
21.544,6.66E+08,88.4919,,,
14.678,9.81E+08,88.0827,,,
10,1.44E+09,88.4873,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,159932,89.0913,3890,3.58E+10,1.02E-11
68129,235282,89.1385,,,
46416,345136,89.2044,,,
31623,505131,89.2261,,,
21544,740286,89.183,,,
14678,1.08E+06,89.259,,,
10000,1.59E+06,89.2756,,,
6812.9,2.32E+06,89.3492,,,
4641.6,3.40E+06,89.3669,,,
3162.3,4.98E+06,89.3815,,,
2154.4,7.29E+06,89.4519,,,
1467.8,1.07E+07,89.3207,,,
1000,1.56E+07,89.3635,,,
681.29,2.29E+07,89.3726,,,
464.16,3.36E+07,89.4048,,,
316.23,4.92E+07,89.355,,,
215.44,7.16E+07,89.0703,,,
146.78,1.05E+08,89.251,,,
100,1.53E+08,89.048,,,
68.129,2.25E+08,88.9793,,,
46.416,3.26E+08,88.7738,,,
31.623,4.81E+08,87.8234,,,
21.544,6.93E+08,88.0928,,,
14.678,1.04E+09,89.2536,,,
10,1.50E+09,88.2363,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,147955,89.1104,3610,2.80E+10,1.10E-11
68129,217499,89.1274,,,
46416,319021,89.1968,,,
31623,466370,89.195,,,
21544,684007,89.2021,,,
14678,999723,89.2382,,,
10000,1.47E+06,89.2594,,,
6812.9,2.14E+06,89.314,,,
4641.6,3.14E+06,89.3157,,,
3162.3,4.60E+06,89.4406,,,
2154.4,6.72E+06,89.3665,,,
1467.8,9.85E+06,89.3021,,,
1000,1.44E+07,89.2866,,,
681.29,2.11E+07,89.259,,,
464.16,3.10E+07,89.3025,,,
316.23,4.54E+07,89.2055,,,
215.44,6.62E+07,89.0327,,,
146.78,9.68E+07,88.9353,,,
100,1.42E+08,88.9554,,,
68.129,2.08E+08,88.7161,,,
46.416,3.03E+08,88.9913,,,
31.623,4.46E+08,88.5362,,,
21.544,6.46E+08,88.4943,,,
14.678,9.39E+08,88.6665,,,
10,1.42E+09,87.3817,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,153687,88.8902,4610,2.08E+10,1.07E-11
68129,225929,88.9326,,,
46416,331123,89.0321,,,
31623,483746,89.0193,,,
21544,709073,89.0505,,,
14678,1.04E+06,89.0734,,,
10000,1.52E+06,89.0902,,,
6812.9,2.22E+06,89.1133,,,
4641.6,3.25E+06,89.1724,,,
3162.3,4.75E+06,89.1757,,,
2154.4,6.95E+06,89.2903,,,
1467.8,1.02E+07,89.1816,,,
1000,1.49E+07,89.2186,,,
681.29,2.18E+07,89.1977,,,
464.16,3.19E+07,89.0799,,,
316.23,4.67E+07,89.002,,,
215.44,6.83E+07,88.8005,,,
146.78,9.98E+07,88.9115,,,
