f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,405882,89.7254,9410,2.23E+10,4.28E-12
68129,597863,89.2371,,,
46416,877316,89.1859,,,
31623,1.28E+06,88.8987,,,
21544,1.87E+06,88.8164,,,
14678,2.73E+06,88.7072,,,
10000,3.99E+06,88.5676,,,
6812.9,5.83E+06,88.3871,,,
4641.6,8.50E+06,88.4754,,,
3162.3,1.24E+07,88.4414,,,
2154.4,1.80E+07,88.2959,,,
1467.8,2.64E+07,88.1413,,,
1000,3.85E+07,88.0568,,,
681.29,5.61E+07,88.0765,,,
464.16,8.16E+07,87.7477,,,
316.23,1.19E+08,87.2755,,,
215.44,1.74E+08,86.4697,,,
146.78,2.49E+08,86.0963,,,
100,3.57E+08,86.1645,,,
68.129,5.21E+08,85.0843,,,
46.416,7.51E+08,86.1416,,,
31.623,1.08E+09,84.94,,,
21.544,1.52E+09,83.8652,,,
14.678,2.08E+09,82.9931,,,
10,3.25E+09,86.7598,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,354920,89.438,9030,2.98E+10,4.90E-12
68129,523329,89.1712,,,
46416,766132,89.1772,,,
31623,1.12E+06,89.0196,,,
21544,1.64E+06,89.0116,,,
14678,2.39E+06,88.8342,,,
10000,3.50E+06,88.6693,,,
6812.9,5.11E+06,88.5389,,,
4641.6,7.48E+06,88.491,,,
3162.3,1.09E+07,88.3647,,,
2154.4,1.59E+07,87.9601,,,
1467.8,2.31E+07,87.881,,,
1000,3.37E+07,87.7973,,,
681.29,4.89E+07,87.6232,,,
464.16,7.10E+07,87.0656,,,
316.23,1.04E+08,87.152,,,
215.44,1.50E+08,86.4609,,,
146.78,2.15E+08,86.2665,,,
100,3.06E+08,86.365,,,
68.129,4.47E+08,86.727,,,
46.416,6.43E+08,86.3978,,,
31.623,9.17E+08,87.0845,,,
21.544,1.38E+09,87.2053,,,
14.678,1.99E+09,86.2493,,,
10,2.70E+09,86.9908,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,264189,88.9124,8760,4.91E+10,6.30E-12
68129,388290,88.8187,,,
46416,567990,88.9034,,,
31623,829652,88.749,,,
21544,1.21E+06,88.8795,,,
14678,1.77E+06,88.8383,,,
10000,2.59E+06,88.8563,,,
6812.9,3.79E+06,88.9001,,,
4641.6,5.53E+06,88.9561,,,
3162.3,8.08E+06,89.0194,,,
2154.4,1.19E+07,89.032,,,
1467.8,1.73E+07,89.0325,,,
1000,2.53E+07,89.0971,,,
681.29,3.70E+07,89.0142,,,
464.16,5.44E+07,88.9983,,,
316.23,7.94E+07,89.1259,,,
215.44,1.17E+08,88.8919,,,
146.78,1.69E+08,88.9123,,,
100,2.45E+08,88.5415,,,
68.129,3.62E+08,88.6084,,,
46.416,5.29E+08,89.2937,,,
31.623,7.67E+08,88.7762,,,
21.544,1.15E+09,87.4996,,,
14.678,1.62E+09,90.9756,,,
10,2.38E+09,86.3625,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,259277,88.7151,9610,4.09E+10,6.38E-12
68129,381335,88.6815,,,
46416,559514,88.7746,,,
31623,816543,88.6599,,,
21544,1.19E+06,88.6803,,,
14678,1.74E+06,88.7804,,,
10000,2.55E+06,88.8738,,,
6812.9,3.72E+06,88.9432,,,
4641.6,5.44E+06,88.9547,,,
3162.3,7.96E+06,89.0162,,,
2154.4,1.16E+07,89.1724,,,
1467.8,1.70E+07,89.2175,,,
1000,2.49E+07,89.2398,,,
681.29,3.64E+07,89.1584,,,
464.16,5.35E+07,89.2101,,,
316.23,7.82E+07,89.2071,,,
215.44,1.14E+08,89.1428,,,
146.78,1.67E+08,89.0103,,,
100,2.45E+08,88.7065,,,
68.129,3.61E+08,88.5966,,,
46.416,5.20E+08,89.1807,,,
31.623,7.57E+08,88.8282,,,
21.544,1.13E+09,88.5639,,,
14.678,1.65E+09,88.8829,,,
10,2.42E+09,86.1681,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,246407,88.8867,8160,2.98E+10,6.72E-12
68129,362726,88.7907,,,
46416,531837,88.9038,,,
31623,776792,88.8694,,,
21544,1.14E+06,88.9111,,,
14678,1.66E+06,88.8429,,,
10000,2.43E+06,88.8598,,,
6812.9,3.55E+06,88.9042,,,
4641.6,5.19E+06,88.9938,,,
3162.3,7.58E+06,88.9846,,,
2154.4,1.11E+07,89.033,,,
1467.8,1.62E+07,88.932,,,
1000,2.37E+07,89.0802,,,
681.29,3.47E+07,89.1568,,,
464.16,5.06E+07,89.0621,,,
316.23,7.44E+07,88.9468,,,
215.44,1.09E+08,88.9608,,,
146.78,1.59E+08,88.7943,,,
100,2.33E+08,89.0803,,,
68.129,3.39E+08,88.9012,,,
46.416,4.96E+08,88.2842,,,
31.623,7.38E+08,87.7047,,,
21.544,1.04E+09,87.8732,,,
14.678,1.52E+09,87.4352,,,
10,2.25E+09,86.2053,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,247647,88.8543,8890,3.11E+10,6.73E-12
68129,364056,88.7185,,,
46416,532601,88.7411,,,
31623,776616,88.7062,,,
21544,1.14E+06,88.6322,,,
14678,1.66E+06,88.7678,,,
10000,2.43E+06,88.7849,,,
6812.9,3.55E+06,88.8878,,,
4641.6,5.18E+06,88.9193,,,
3162.3,7.57E+06,88.8885,,,
2154.4,1.11E+07,89.1295,,,
1467.8,1.62E+07,88.9617,,,
1000,2.37E+07,89.0544,,,
681.29,3.47E+07,88.9948,,,
464.16,5.07E+07,89.0819,,,
316.23,7.41E+07,88.9285,,,
215.44,1.08E+08,88.7833,,,
146.78,1.58E+08,88.6547,,,
100,2.29E+08,88.5961,,,
68.129,3.40E+08,88.6102,,,
46.416,4.90E+08,88.412,,,
31.623,7.38E+08,88.361,,,
21.544,1.06E+09,88.2638,,,
14.678,1.53E+09,86.8058,,,
10,2.25E+09,86.6869,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,211579,88.5956,7860,1.62E+10,7.86E-12
68129,310827,88.6336,,,
46416,454314,88.7955,,,
31623,664348,88.7925,,,
21544,969749,88.8943,,,
14678,1.42E+06,88.926,,,
10000,2.08E+06,88.9382,,,
6812.9,3.05E+06,89.0584,,,
4641.6,4.45E+06,89.0679,,,
3162.3,6.51E+06,89.0889,,,
2154.4,9.53E+06,89.0303,,,
1467.8,1.39E+07,89.0382,,,
1000,2.04E+07,89.2076,,,
681.29,2.98E+07,88.9911,,,
464.16,4.35E+07,89.0419,,,
316.23,6.39E+07,88.9517,,,
215.44,9.28E+07,88.6334,,,
146.78,1.36E+08,88.5017,,,
100,1.98E+08,88.4091,,,
68.129,2.89E+08,88.3599,,,
46.416,4.25E+08,88.3541,,,
31.623,6.12E+08,87.4699,,,
21.544,9.03E+08,86.958,,,
14.678,1.28E+09,85.3892,,,
10,1.92E+09,83.7069,,,
Frequency (Hz),Z (�),#NAME?,Output Rs.R (�),Output Rct.R (�),Output C.C (F)
100000,240500,88.4326,9830,2.59E+10,6.96E-12
68129,353013,88.4852,,,
46416,516848,88.6153,,,
31623,755100,88.6461,,,
21544,1.10E+06,88.9887,,,
14678,1.61E+06,88.8699,,,
10000,2.36E+06,88.9154,,,
6812.9,3.45E+06,88.9596,,,
4641.6,5.04E+06,89.0113,,,
3162.3,7.38E+06,89.1345,,,
2154.4,1.08E+07,89.1445,,,
1467.8,1.58E+07,89.0188,,,
1000,2.31E+07,88.928,,,
681.29,3.38E+07,88.9764,,,
464.16,4.95E+07,88.9273,,,
316.23,7.21E+07,88.8987,,,
215.44,1.05E+08,88.2183,,,
146.78,1.54E+08,88.4214,,,
100,2.25E+08,88.4765,,,
68.129,3.28E+08,87.7781,,,
